abs_delta_gen_max,abs_delta_gen_mean,donor_gen_max,donor_gen_mean,donor_minus_recipient_gen_mean,feature_id,n,recipient_gen_max,recipient_gen_mean,recipient_minus_donor_gen_mean,source_model,split
0.0,0.0,0.0,0.0,0.0,114,1,0.0,0.0,0.0,bundle_patch_decoder_top3210_plus_rank3216_plus_rank3308_plus_rank3323_plus_rank4266,harmful
3.369140625,0.05216064304113388,7.87109375,0.31196290254592896,-0.013684081844985485,1293,1,8.1953125,0.3256469666957855,0.013684081844985485,bundle_patch_decoder_top3210_plus_rank3216_plus_rank3308_plus_rank3323_plus_rank4266,harmful
2.72265625,0.01896972581744194,5.54296875,0.09035644680261612,-0.01604003831744194,2451,1,5.56640625,0.10639648139476776,0.01604003831744194,bundle_patch_decoder_top3210_plus_rank3216_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,4983,1,0.0,0.0,0.0,bundle_patch_decoder_top3210_plus_rank3216_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,93,1,0.0,0.0,0.0,bundle_patch_decoder_top3210_plus_rank3217_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,114,1,0.0,0.0,0.0,bundle_patch_decoder_top3210_plus_rank3217_plus_rank3308_plus_rank3323_plus_rank4266,harmful
3.369140625,0.05216064304113388,7.87109375,0.31196290254592896,-0.013684081844985485,1293,1,8.1953125,0.3256469666957855,0.013684081844985485,bundle_patch_decoder_top3210_plus_rank3217_plus_rank3308_plus_rank3323_plus_rank4266,harmful
2.72265625,0.01896972581744194,5.54296875,0.09035644680261612,-0.01604003831744194,2451,1,5.56640625,0.10639648139476776,0.01604003831744194,bundle_patch_decoder_top3210_plus_rank3217_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,4983,1,0.0,0.0,0.0,bundle_patch_decoder_top3210_plus_rank3217_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,93,1,0.0,0.0,0.0,bundle_patch_decoder_top3210_plus_rank3218_plus_rank3308_plus_rank3323_plus_rank4266,harmful
0.0,0.0,0.0,0.0,0.0,114,1,0.0,0.0,0.0,bundle_patch_decoder_top3210_plus_rank3218_plus_rank3308_plus_rank3323_plus_rank4266,harmful
3.369140625,0.05216064304113388,7.87109375,0.31196290254592896,-0.013684081844985485,1293,1,8.1953125,0.3256469666957855,0.013684081844985485,bundle_patch_decoder_top3210_plus_rank3218_plus_rank3308_plus_rank3323_plus_rank4266,harmful
