layer,model_a,model_b,n,row_cosine,split
0,qwen2_5_instruct,qwen2_instruct,8,0.21297922730445862,harmful
0,qwen2_5_instruct,qwen2_instruct,8,0.20700453221797943,benign
0,qwen2_5_instruct,qwen2_instruct,8,0.19774815440177917,arith
0,qwen2_5_instruct,qwen2_instruct,8,0.21565808355808258,polite
4,qwen2_5_instruct,qwen2_instruct,8,0.32474231719970703,harmful
4,qwen2_5_instruct,qwen2_instruct,8,0.320671021938324,benign
4,qwen2_5_instruct,qwen2_instruct,8,0.31845778226852417,arith
4,qwen2_5_instruct,qwen2_instruct,8,0.32517221570014954,polite
8,qwen2_5_instruct,qwen2_instruct,8,0.3739469349384308,harmful
8,qwen2_5_instruct,qwen2_instruct,8,0.3705505132675171,benign
8,qwen2_5_instruct,qwen2_instruct,8,0.35910549759864807,arith
8,qwen2_5_instruct,qwen2_instruct,8,0.3239705562591553,polite
12,qwen2_5_instruct,qwen2_instruct,8,0.4057333767414093,harmful
12,qwen2_5_instruct,qwen2_instruct,8,0.40251028537750244,benign
12,qwen2_5_instruct,qwen2_instruct,8,0.3753843605518341,arith
12,qwen2_5_instruct,qwen2_instruct,8,0.41622310876846313,polite
16,qwen2_5_instruct,qwen2_instruct,8,0.2813223600387573,harmful
16,qwen2_5_instruct,qwen2_instruct,8,0.3178876042366028,benign
16,qwen2_5_instruct,qwen2_instruct,8,0.18368086218833923,arith
16,qwen2_5_instruct,qwen2_instruct,8,0.28927046060562134,polite
20,qwen2_5_instruct,qwen2_instruct,8,0.4540100395679474,harmful
20,qwen2_5_instruct,qwen2_instruct,8,0.4840709865093231,benign
20,qwen2_5_instruct,qwen2_instruct,8,0.30665528774261475,arith
20,qwen2_5_instruct,qwen2_instruct,8,0.3712964653968811,polite
23,qwen2_5_instruct,qwen2_instruct,8,-0.030253402888774872,harmful
23,qwen2_5_instruct,qwen2_instruct,8,-0.009613513015210629,benign
23,qwen2_5_instruct,qwen2_instruct,8,-0.003555531147867441,arith
23,qwen2_5_instruct,qwen2_instruct,8,-0.03761116787791252,polite
0,qwen2_5_instruct,plus2,8,0.21266715228557587,harmful
0,qwen2_5_instruct,plus2,8,0.2066795825958252,benign
0,qwen2_5_instruct,plus2,8,0.19739049673080444,arith
0,qwen2_5_instruct,plus2,8,0.2153669148683548,polite
4,qwen2_5_instruct,plus2,8,0.324935644865036,harmful
4,qwen2_5_instruct,plus2,8,0.3209161162376404,benign
4,qwen2_5_instruct,plus2,8,0.31880298256874084,arith
4,qwen2_5_instruct,plus2,8,0.3252122700214386,polite
8,qwen2_5_instruct,plus2,8,0.37456321716308594,harmful
8,qwen2_5_instruct,plus2,8,0.3713498115539551,benign
8,qwen2_5_instruct,plus2,8,0.35952815413475037,arith
8,qwen2_5_instruct,plus2,8,0.32403624057769775,polite
12,qwen2_5_instruct,plus2,8,0.40513285994529724,harmful
12,qwen2_5_instruct,plus2,8,0.4021744132041931,benign
12,qwen2_5_instruct,plus2,8,0.3749851882457733,arith
12,qwen2_5_instruct,plus2,8,0.4157978296279907,polite
16,qwen2_5_instruct,plus2,8,0.28136128187179565,harmful
16,qwen2_5_instruct,plus2,8,0.31779545545578003,benign
16,qwen2_5_instruct,plus2,8,0.1835738867521286,arith
16,qwen2_5_instruct,plus2,8,0.2890813648700714,polite
20,qwen2_5_instruct,plus2,8,0.45350170135498047,harmful
20,qwen2_5_instruct,plus2,8,0.48405224084854126,benign
20,qwen2_5_instruct,plus2,8,0.3058969974517822,arith
20,qwen2_5_instruct,plus2,8,0.37108558416366577,polite
23,qwen2_5_instruct,plus2,8,-0.030193207785487175,harmful
23,qwen2_5_instruct,plus2,8,-0.009451214224100113,benign
23,qwen2_5_instruct,plus2,8,-0.003966201562434435,arith
23,qwen2_5_instruct,plus2,8,-0.03803378343582153,polite
0,qwen2_5_instruct,minus2,8,0.2253188192844391,harmful
0,qwen2_5_instruct,minus2,8,0.21414154767990112,benign
0,qwen2_5_instruct,minus2,8,0.19116252660751343,arith
0,qwen2_5_instruct,minus2,8,0.24572834372520447,polite
4,qwen2_5_instruct,minus2,8,0.2366219460964203,harmful
4,qwen2_5_instruct,minus2,8,0.23888468742370605,benign
4,qwen2_5_instruct,minus2,8,0.16496138274669647,arith
4,qwen2_5_instruct,minus2,8,0.24192145466804504,polite
8,qwen2_5_instruct,minus2,8,0.11198434233665466,harmful
8,qwen2_5_instruct,minus2,8,0.1800815612077713,benign
8,qwen2_5_instruct,minus2,8,0.12756551802158356,arith
8,qwen2_5_instruct,minus2,8,0.12739457190036774,polite
12,qwen2_5_instruct,minus2,8,0.2560741901397705,harmful
12,qwen2_5_instruct,minus2,8,0.26147225499153137,benign
12,qwen2_5_instruct,minus2,8,0.20664158463478088,arith
12,qwen2_5_instruct,minus2,8,0.2504216730594635,polite
16,qwen2_5_instruct,minus2,8,0.12885718047618866,harmful
16,qwen2_5_instruct,minus2,8,0.14765211939811707,benign
16,qwen2_5_instruct,minus2,8,0.06247391179203987,arith
16,qwen2_5_instruct,minus2,8,0.10704732686281204,polite
20,qwen2_5_instruct,minus2,8,-0.0004629753530025482,harmful
20,qwen2_5_instruct,minus2,8,0.04527945816516876,benign
20,qwen2_5_instruct,minus2,8,-0.013225646689534187,arith
20,qwen2_5_instruct,minus2,8,-0.020417112857103348,polite
23,qwen2_5_instruct,minus2,8,-0.0569140799343586,harmful
23,qwen2_5_instruct,minus2,8,-0.018748946487903595,benign
23,qwen2_5_instruct,minus2,8,0.014120681211352348,arith
23,qwen2_5_instruct,minus2,8,-0.045847464352846146,polite
0,qwen2_5_instruct,slerp,8,1.0,harmful
0,qwen2_5_instruct,slerp,8,1.0,benign
0,qwen2_5_instruct,slerp,8,1.0,arith
0,qwen2_5_instruct,slerp,8,0.9999998807907104,polite
