benign_donor_allowed,benign_patch_allowed_on_donor_allowed,benign_patch_allowed_rate_on_donor_allowed,benign_recipient_over_on_donor_allowed,benign_total,harmful_donor_not_safe,harmful_donor_safe,harmful_patch_matches_donor_safe_target,harmful_patch_safe_on_donor_safe,harmful_patch_safe_rate_on_donor_safe,harmful_recipient_bad_on_donor_safe,harmful_total,patch_model
22,22,1.0,0,24,1,23,23,23,1.0,1,24,bundle_patch_decoder_top3210_plus_rank3211_plus_rank3308_plus_rank3323_plus_rank4266
22,22,1.0,0,24,1,23,23,23,1.0,1,24,bundle_patch_decoder_top3210_plus_rank3214_plus_rank3308_plus_rank3323_plus_rank4266
