benign_donor_allowed,benign_patch_allowed_on_donor_allowed,benign_patch_allowed_rate_on_donor_allowed,benign_recipient_over_on_donor_allowed,benign_total,harmful_donor_not_safe,harmful_donor_safe,harmful_patch_matches_donor_safe_target,harmful_patch_safe_on_donor_safe,harmful_patch_safe_rate_on_donor_safe,harmful_recipient_bad_on_donor_safe,harmful_total,patch_model
22,22,1.0,0,24,1,23,23,23,1.0,1,24,mixed_timing_prefix_abog_named_boundary_edge3211
22,22,1.0,0,24,1,23,22,22,0.9565217391304348,1,24,mixed_timing_prefix_boundary_named_abog_edge3211
