benign_clean_generation_rate,benign_ok_rate,benign_over_refusal_rate,donor_alpha,harmful_attempted_refusal_rate,harmful_bad_attempt_rate,harmful_clean_generation_rate,harmful_ok_rate,harmful_unsafe_continuation_rate,model,n,patch_mode,patch_token_filter,recipient_alpha
1.0,1.0,0.0,0.25,0.875,0.0,1.0,0.875,0.0,bundle_patch_top10,16,delta_add,assistant_boundary_or_generated,0.75
1.0,1.0,0.0,0.25,0.875,0.0,1.0,0.875,0.0,bundle_patch_random1,16,delta_add,assistant_boundary_or_generated,0.75
1.0,1.0,0.0,0.25,0.875,0.0,1.0,0.875,0.0,bundle_patch_random2,16,delta_add,assistant_boundary_or_generated,0.75
1.0,1.0,0.0,0.25,0.875,0.0,1.0,0.875,0.0,bundle_patch_random3,16,delta_add,assistant_boundary_or_generated,0.75
