activation_kind,alpha,artifact_rate,attempt_preserved,attempted_refusal_rate,bad_attempt_rate,clean_refusal_rate,delta_artifact_rate,delta_attempted_refusal_rate,delta_bad_attempt_rate,delta_clean_refusal_rate,delta_no_refusal_rate,delta_problem_response_rate,delta_repetition_rate,delta_unsafe_or_contradictory_rate,direction_norm,generation_mode,invalid_generation_rate,kind,layer,mode,model,n,no_refusal_rate,position,problem_reduction_vs_recipient,problem_response_rate,recipient,rep_name,repetition_rate,target,unsafe_or_contradictory_rate
,0.0,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,hf,0.0,recipient_baseline,,constant,merge_arith_refusal,16,0.0,last,0.0,1.0,merge_arith_refusal,,1.0,,0.0
mlp,0.05,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82735824584961,hf,0.0,direction_ablation,20,constant,merge_arith_refusal__ablate_mlp_out_l20_failure_repetition_a0.05_last,16,0.0,last,0.0,1.0,merge_arith_refusal,mlp_out_l20,1.0,failure_repetition,0.0
mlp,0.1,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82735824584961,hf,0.0,direction_ablation,20,constant,merge_arith_refusal__ablate_mlp_out_l20_failure_repetition_a0.1_last,16,0.0,last,0.0,1.0,merge_arith_refusal,mlp_out_l20,1.0,failure_repetition,0.0
mlp,0.25,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82735824584961,hf,0.0,direction_ablation,20,constant,merge_arith_refusal__ablate_mlp_out_l20_failure_repetition_a0.25_last,16,0.0,last,0.0,1.0,merge_arith_refusal,mlp_out_l20,1.0,failure_repetition,0.0
mlp,0.5,0.1875,True,1.0,1.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,-0.25,0.0625,40.82735824584961,hf,0.0,direction_ablation,20,constant,merge_arith_refusal__ablate_mlp_out_l20_failure_repetition_a0.5_last,16,0.0,last,0.0,1.0,merge_arith_refusal,mlp_out_l20,0.75,failure_repetition,0.0625
mlp,1.0,0.625,True,0.9375,0.9375,0.0,0.625,-0.0625,-0.0625,0.0,0.0625,-0.0625,-0.75,0.0625,40.82735824584961,hf,0.0,direction_ablation,20,constant,merge_arith_refusal__ablate_mlp_out_l20_failure_repetition_a1_last,16,0.0625,last,0.0625,0.9375,merge_arith_refusal,mlp_out_l20,0.25,failure_repetition,0.0625
