bundle,feature_ids,layer,selected_features
random1,9137,14,1
random1,12962,15,1
random1,747,16,1
random1,"6842,14472",17,2
random1,"2195,6989,10796,15797",18,4
random1,,19,0
random1,2796,20,1
random2,11187,14,1
random2,834,15,1
random2,2407,16,1
random2,"11572,16027",17,2
random2,"4149,9901,12498,13794",18,4
random2,,19,0
random2,418,20,1
random3,8550,14,1
random3,15840,15,1
random3,9989,16,1
random3,"720,8444",17,2
random3,"699,2087,6577,16087",18,4
random3,,19,0
random3,10915,20,1
