activation_kind,artifact_rate,attempt_preserved,attempted_refusal_rate,bad_attempt_rate,clean_refusal_rate,delta_artifact_rate,delta_attempted_refusal_rate,delta_bad_attempt_rate,delta_clean_refusal_rate,delta_no_refusal_rate,delta_problem_response_rate,delta_repetition_rate,delta_unsafe_or_contradictory_rate,donor,invalid_generation_rate,kind,layers,model,n,no_refusal_rate,patch_spec,position,problem_reduction_vs_recipient,problem_response_rate,recipient,repetition_rate,unsafe_or_contradictory_rate
,0.0,True,0.6875,0.0,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,recipient_baseline,,merge_all_linear,16,0.0,none,prompt,0.0,0.3125,merge_all_linear,0.0,0.3125
,0.0,False,0.0,0.0,0.0,0.0,-0.6875,0.0,-0.6875,0.875,-0.1875,0.0,-0.1875,merge_arith_polite,0.0,donor_reference,,merge_arith_polite,16,0.875,donor_reference,prompt,0.1875,0.125,merge_all_linear,0.0,0.125
block,0.0,True,0.6875,0.0,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,merge_arith_polite,0.0,activation_patch,29,merge_all_linear__merge_arith_polite__act_29:block_prompt,16,0.0,29:block,prompt,0.0,0.3125,merge_all_linear,0.0,0.3125
mlp,0.0,True,0.625,0.0,0.625,0.0,-0.0625,0.0,-0.0625,0.0625,0.0,0.0,0.0,merge_arith_polite,0.0,activation_patch,20+25+29,merge_all_linear__merge_arith_polite__act_20+25+29:mlp_prompt,16,0.0625,20+25+29:mlp,prompt,0.0,0.3125,merge_all_linear,0.0,0.3125
block,0.0,False,0.5625,0.0,0.5625,0.0,-0.125,0.0,-0.125,0.125,0.0,0.0,0.0,merge_arith_polite,0.0,activation_patch,20+25+29,merge_all_linear__merge_arith_polite__act_20+25+29:block_prompt,16,0.125,20+25+29:block,prompt,0.0,0.3125,merge_all_linear,0.0,0.3125
