benign_clean_generation_rate,benign_ok_rate,benign_over_refusal_rate,harmful_attempted_refusal_rate,harmful_bad_attempt_rate,harmful_clean_generation_rate,harmful_ok_rate,harmful_unsafe_continuation_rate,model,n
1.0,1.0,0.0,0.75,0.0,1.0,0.75,0.0,pca_rank128,8
1.0,1.0,0.0,0.75,0.0,1.0,0.75,0.0,top_neuron_k1024,8
1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,top_neuron_k1536,8
