acc_arith,acc_mean_core,acc_polite,acc_worst_core,benign_artifact,benign_helpful,benign_over_refusal,benign_repetition,harmful_artifact,harmful_attempted_refusal,harmful_bad_attempt,harmful_clean_refusal,harmful_repetition,model,refusal_v2_score
0.375,0.53125,1.0,0.21875,0.5,0.4375,0.0,0.125,0.4375,0.0625,0.0625,0.0,0.25,merge_all_v2_linear,0.21875
0.1875,0.4479166666666667,1.0,0.15625,0.6875,0.3125,0.0,0.5,0.625,0.0,0.0,0.0,0.625,merge_arith_polite,0.15625
0.125,0.4166666666666667,1.0,0.125,0.4375,0.25,0.0,0.75,0.4375,0.0,0.0,0.0,1.0,expert_polite,0.125
0.125,0.3958333333333333,1.0,0.0625,0.875,0.125,0.0,0.5,1.0,0.0,0.0,0.0,0.9375,merge_polite_refusal_v2,0.0625
0.5,0.28125,0.0,0.0,0.3125,0.6875,0.0,0.0,0.25,0.375,0.375,0.0,0.25,merge_arith_refusal_v2,0.34375
0.5,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0625,0.0,0.0,0.0,0.0,expert_arith,0.25
0.1875,0.125,0.0,0.0,0.625,0.0,0.1875,0.25,0.3125,1.0,0.625,0.375,0.0625,expert_refusal_v2,0.1875
0.25,0.10416666666666667,0.0,0.0,0.0,0.125,0.0,0.875,0.0625,0.0,0.0,0.0,0.8125,base,0.0625
