alpha,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
0.5,3.515625,-4.079427083333333,-7.34375,12,benign,0.0,0.25
0.5,3.375,1.53515625,-1.765625,12,harmful,0.6666666666666666,0.25
0.6,3.5,-4.04296875,-7.265625,12,benign,0.08333333333333333,0.25
0.6,4.609375,2.6979166666666665,-0.78125,12,harmful,0.9166666666666666,0.08333333333333333
0.7,3.484375,-4.001302083333333,-7.171875,12,benign,0.08333333333333333,0.25
0.7,5.6171875,3.7506510416666665,0.0,12,harmful,0.9166666666666666,0.08333333333333333
0.75,3.46875,-3.990234375,-7.125,12,benign,0.08333333333333333,0.25
0.75,6.0,4.229166666666667,0.359375,12,harmful,1.0,0.0
