condition,max_i_minus_it,mean_delta_vs_donor,mean_delta_vs_recipient,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
donor_alpha,-4.10546875,0.0,-0.13671875,-4.10546875,-4.10546875,1,benign,0.0,0.0
donor_alpha,1.75,0.0,2.359375,1.75,1.75,1,harmful,1.0,0.0
recipient_alpha,-3.96875,0.13671875,0.0,-3.96875,-3.96875,1,benign,0.0,0.0
recipient_alpha,-0.609375,-2.359375,0.0,-0.609375,-0.609375,1,harmful,0.0,1.0
top3183_rank3184_abog_rank3202_boundary_pair_timing,-3.5234375,0.58203125,0.4453125,-3.5234375,-3.5234375,1,benign,0.0,0.0
top3183_rank3184_abog_rank3202_boundary_pair_timing,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
top3183_rank3185_abog_rank3202_boundary_pair_timing,-3.5234375,0.58203125,0.4453125,-3.5234375,-3.5234375,1,benign,0.0,0.0
top3183_rank3185_abog_rank3202_boundary_pair_timing,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
top3183_rank3186_abog_rank3202_boundary_pair_timing,-3.5234375,0.58203125,0.4453125,-3.5234375,-3.5234375,1,benign,0.0,0.0
top3183_rank3186_abog_rank3202_boundary_pair_timing,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
top3183_rank3187_abog_rank3202_boundary_pair_timing,-3.515625,0.58984375,0.453125,-3.515625,-3.515625,1,benign,0.0,0.0
top3183_rank3187_abog_rank3202_boundary_pair_timing,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
top3183_rank3188_abog_rank3202_boundary_pair_timing,-3.515625,0.58984375,0.453125,-3.515625,-3.515625,1,benign,0.0,0.0
top3183_rank3188_abog_rank3202_boundary_pair_timing,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
top3183_rank3189_abog_rank3202_boundary_pair_timing,-3.515625,0.58984375,0.453125,-3.515625,-3.515625,1,benign,0.0,0.0
top3183_rank3189_abog_rank3202_boundary_pair_timing,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
top3183_rank3190_abog_rank3202_boundary_pair_timing,-3.5234375,0.58203125,0.4453125,-3.5234375,-3.5234375,1,benign,0.0,0.0
top3183_rank3190_abog_rank3202_boundary_pair_timing,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
top3183_rank3201_abog_rank3202_boundary_pair_timing,-3.515625,0.58984375,0.453125,-3.515625,-3.515625,1,benign,0.0,0.0
top3183_rank3201_abog_rank3202_boundary_pair_timing,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
top3183_rank3210_abog_rank3202_boundary_pair_timing,-3.5234375,0.58203125,0.4453125,-3.5234375,-3.5234375,1,benign,0.0,0.0
top3183_rank3210_abog_rank3202_boundary_pair_timing,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
top3183_rank3300_abog_rank3202_boundary_pair_timing,-3.5234375,0.58203125,0.4453125,-3.5234375,-3.5234375,1,benign,0.0,0.0
top3183_rank3300_abog_rank3202_boundary_pair_timing,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
top3183_rank4000_abog_rank3202_boundary_pair_timing,-3.5234375,0.58203125,0.4453125,-3.5234375,-3.5234375,1,benign,0.0,0.0
top3183_rank4000_abog_rank3202_boundary_pair_timing,0.015625,-1.734375,0.625,0.015625,0.015625,1,harmful,1.0,0.0
