base_module_patched_loss,layer,loss_increase,module,n_patched_tensors,original_loss,source_expert,target_model,task
0.9929710030555725,15,-0.011697590351104736,attn,4,1.0046685934066772,expert_arith,expert_arith,arith
0.979434072971344,15,-0.025234520435333252,mlp,3,1.0046685934066772,expert_arith,expert_arith,arith
1.0017871856689453,15,-0.0028814077377319336,norms,2,1.0046685934066772,expert_arith,expert_arith,arith
0.9718481302261353,15,-0.03282046318054199,block,9,1.0046685934066772,expert_arith,expert_arith,arith
1.0088858604431152,29,0.004217267036437988,attn,4,1.0046685934066772,expert_arith,expert_arith,arith
1.0107406377792358,29,0.006072044372558594,mlp,3,1.0046685934066772,expert_arith,expert_arith,arith
1.0029807090759277,29,-0.0016878843307495117,norms,2,1.0046685934066772,expert_arith,expert_arith,arith
1.0205250978469849,29,0.015856504440307617,block,9,1.0046685934066772,expert_arith,expert_arith,arith
0.2576349079608917,15,0.0004080533981323242,attn,4,0.2572268545627594,expert_polite,expert_polite,polite
0.258293479681015,15,0.0010666251182556152,mlp,3,0.2572268545627594,expert_polite,expert_polite,polite
0.25795698165893555,15,0.0007301270961761475,norms,2,0.2572268545627594,expert_polite,expert_polite,polite
0.2586703896522522,15,0.0014435350894927979,block,9,0.2572268545627594,expert_polite,expert_polite,polite
0.2585274875164032,29,0.0013006329536437988,attn,4,0.2572268545627594,expert_polite,expert_polite,polite
0.2607606053352356,29,0.0035337507724761963,mlp,3,0.2572268545627594,expert_polite,expert_polite,polite
0.25736597180366516,29,0.00013911724090576172,norms,2,0.2572268545627594,expert_polite,expert_polite,polite
0.2618751525878906,29,0.004648298025131226,block,9,0.2572268545627594,expert_polite,expert_polite,polite
0.23556964099407196,15,0.00045499205589294434,attn,4,0.23511464893817902,expert_refusal,expert_refusal,refusal
0.23531317710876465,15,0.00019852817058563232,mlp,3,0.23511464893817902,expert_refusal,expert_refusal,refusal
0.23535306751728058,15,0.0002384185791015625,norms,2,0.23511464893817902,expert_refusal,expert_refusal,refusal
0.23526647686958313,15,0.00015182793140411377,block,9,0.23511464893817902,expert_refusal,expert_refusal,refusal
