acc_arith,acc_mean,acc_polite,acc_refusal,acc_worst,model
0.5833333333333334,0.8611111111111112,1.0,1.0,0.5833333333333334,merge_all_linear
0.16666666666666666,0.638888888888889,1.0,0.75,0.16666666666666666,micro_refusal_l15_l20_l25_l29_mlp
0.16666666666666666,0.638888888888889,1.0,0.75,0.16666666666666666,micro_refusal_l15_l20_l25_l29_mlp_attn
0.16666666666666666,0.638888888888889,1.0,0.75,0.16666666666666666,micro_refusal_l20_l25_l29_mlp_attn
0.16666666666666666,0.5833333333333334,1.0,0.5833333333333334,0.16666666666666666,micro_refusal_l20_l25_l29_mlp
0.16666666666666666,0.5833333333333334,1.0,0.5833333333333334,0.16666666666666666,micro_refusal_l25_l29_block
0.16666666666666666,0.5555555555555556,1.0,0.5,0.16666666666666666,micro_refusal_l25_l29_mlp
0.16666666666666666,0.3888888888888889,1.0,0.0,0.0,merge_arith_polite
0.16666666666666666,0.3888888888888889,0.0,1.0,0.0,merge_arith_refusal
0.16666666666666666,0.3888888888888889,1.0,0.0,0.0,micro_refusal_l15_l20_l25_l29_attn
0.16666666666666666,0.3888888888888889,1.0,0.0,0.0,micro_refusal_l20_l25_l29_attn
0.16666666666666666,0.3888888888888889,1.0,0.0,0.0,micro_refusal_l29_mlp
0.08333333333333333,0.3611111111111111,1.0,0.0,0.0,micro_refusal_l29_block
0.0,0.3333333333333333,0.0,1.0,0.0,expert_refusal
0.25,0.08333333333333333,0.0,0.0,0.0,base
