loss_arith,loss_delta_vs_merge_arith_polite_arith,loss_delta_vs_merge_arith_polite_mean,loss_delta_vs_merge_arith_polite_polite,loss_delta_vs_merge_arith_polite_refusal,loss_mean,loss_polite,loss_refusal,loss_worst,model
2.0355206727981567,-0.6342799067497253,0.7461569458246232,-0.07472427189350128,2.947475016117096,0.9698370198408762,0.38570287823677063,0.4882875084877014,2.0355206727981567,merge_all_linear
1.3900776505470276,0.011163115501403809,0.5542656679948172,-1.467040404677391,3.1186742931604385,1.1617282976706822,1.7780190110206604,0.3170882314443588,1.7780190110206604,merge_arith_refusal
1.557828962802887,-0.15658819675445557,0.44695429503917694,-0.03800539672374725,1.5354564785957336,1.2690396706263225,0.3489840030670166,1.9003060460090637,1.9003060460090637,micro_refusal_l15_l20_l25_l29_mlp_attn
1.5091165900230408,-0.10787582397460938,0.36457630495230364,-0.023960456252098083,1.2255651950836182,1.3514176607131958,0.33493906259536743,2.210197329521179,2.210197329521179,micro_refusal_l15_l20_l25_l29_mlp
1.4921595454216003,-0.09091877937316895,0.3199384311834972,-0.029077261686325073,1.0798113346099854,1.3960555344820023,0.3400558680295944,2.355951189994812,2.355951189994812,micro_refusal_l20_l25_l29_mlp_attn
1.4771263003349304,-0.07588553428649902,0.2638254513343177,-0.019426360726356506,0.8867882490158081,1.4521685143311818,0.33040496706962585,2.5489742755889893,2.5489742755889893,micro_refusal_l20_l25_l29_mlp
1.4527826309204102,-0.05154186487197876,0.22647340595722198,-0.017168834805488586,0.7481309175491333,1.4895205597082775,0.32814744114875793,2.687631607055664,2.687631607055664,micro_refusal_l25_l29_block
1.4408639073371887,-0.039623141288757324,0.19251326223214482,-0.0129556804895401,0.6301186084747314,1.5234807034333546,0.32393428683280945,2.805643916130066,2.805643916130066,micro_refusal_l25_l29_mlp
1.439251720905304,-0.03801095485687256,0.14079426229000092,-0.010479733347892761,0.47087347507476807,1.5751997033754985,0.3214583396911621,2.9648890495300293,2.9648890495300293,micro_refusal_l29_block
1.4302857518196106,-0.0290449857711792,0.13020165264606476,-0.008873119950294495,0.42852306365966797,1.5857923130194347,0.31985172629356384,3.0072394609451294,3.0072394609451294,micro_refusal_l29_mlp
1.4352297186851501,-0.03398895263671875,0.09968629479408264,-0.0036415159702301025,0.3366893529891968,1.6163076708714168,0.31462012231349945,3.0990731716156006,3.0990731716156006,micro_refusal_l15_l20_l25_l29_attn
1.4102362394332886,-0.008995473384857178,0.06723821659882878,-0.0021598786115646362,0.21287000179290771,1.6487557490666707,0.313138484954834,3.2228925228118896,3.2228925228118896,micro_refusal_l20_l25_l29_attn
1.4012407660484314,0.0,0.0,0.0,0.0,1.7159939656654994,0.31097860634326935,3.4357625246047974,3.4357625246047974,merge_arith_polite
8.509242057800293,-7.108001291751862,-2.2965908596913014,-2.982137009501457,3.200365722179413,4.012584825356801,3.2931156158447266,0.23539680242538452,8.509242057800293,expert_refusal
8.515694618225098,-7.114453852176666,-3.1531529774268465,-2.1662704199552536,-0.1787346601486206,4.869146943092346,2.477249026298523,3.614497184753418,8.515694618225098,base
