alpha,loss_arith,loss_mean,loss_polite,loss_refusal,loss_worst,model,variant
,2.0355206727981567,0.9698370198408762,0.38570287823677063,0.4882875084877014,2.0355206727981567,merge_all_linear,baseline
,1.3900776505470276,1.1617282976706822,1.7780190110206604,0.3170882314443588,1.7780190110206604,merge_arith_refusal,baseline
1.25,1.6141380071640015,1.2042042762041092,0.38219521939754486,1.6162796020507812,1.6162796020507812,alpha_refusal_late_mlp_attn_a1p25,late_mlp_attn
1.0,1.557828962802887,1.2690396706263225,0.3489840030670166,1.9003060460090637,1.9003060460090637,alpha_refusal_late_mlp_attn_a1,late_mlp_attn
1.25,1.5502312779426575,1.2929259190956752,0.35348929464817047,1.9750571846961975,1.9750571846961975,alpha_refusal_late_mlp_a1p25,late_mlp
0.75,1.5115545988082886,1.3497771471738815,0.3302978426218033,2.2074790000915527,2.2074790000915527,alpha_refusal_late_mlp_attn_a0p75,late_mlp_attn
1.0,1.5091165900230408,1.3514176607131958,0.33493906259536743,2.210197329521179,2.210197329521179,alpha_refusal_late_mlp_a1,late_mlp
0.75,1.475937843322754,1.4210652709007263,0.3242649435997009,2.462993025779724,2.462993025779724,alpha_refusal_late_mlp_a0p75,late_mlp
0.5,1.4669001698493958,1.4885351210832596,0.3209898918867111,2.677715301513672,2.677715301513672,alpha_refusal_late_mlp_attn_a0p5,late_mlp_attn
0.5,1.4482870697975159,1.5315764248371124,0.318555623292923,2.8278865814208984,2.8278865814208984,alpha_refusal_late_mlp_a0p5,late_mlp
0.25,1.432896912097931,1.6063298930724461,0.31530819833278656,3.070784568786621,3.070784568786621,alpha_refusal_late_mlp_attn_a0p25,late_mlp_attn
0.25,1.4233078360557556,1.6264686435461044,0.3136683851480484,3.1424297094345093,3.1424297094345093,alpha_refusal_late_mlp_a0p25,late_mlp
,1.4012407660484314,1.7159939656654994,0.31097860634326935,3.4357625246047974,3.4357625246047974,merge_arith_polite,baseline
,8.509242057800293,4.012584825356801,3.2931156158447266,0.23539680242538452,8.509242057800293,expert_refusal,baseline
,8.515694618225098,4.869146943092346,2.477249026298523,3.614497184753418,8.515694618225098,base,baseline
