expert_model,expert_top_layer,merge_model,merge_top_layer,n_layers,n_layers_no_l0,pearson,pearson_no_l0,spearman,spearman_no_l0,task
expert_arith,29,merge_all_linear,29,7,6,-0.41383177791670545,0.09761038877464466,-0.10714285714285716,0.08571428571428573,arith
expert_arith,29,merge_arith_polite,15,7,6,-0.5553629396620682,-0.1857885300583366,-0.7142857142857144,-0.7142857142857143,arith
expert_arith,29,merge_arith_refusal,15,7,6,-0.4253154265073336,-0.32334649321037856,-0.5357142857142858,-0.5428571428571429,arith
expert_polite,29,merge_all_linear,15,7,6,0.37951790611053665,0.337056188817805,0.3214285714285715,0.2,polite
expert_polite,29,merge_arith_polite,0,7,6,0.9274569283854427,0.8891476823432106,0.7142857142857144,0.6,polite
expert_polite,29,merge_polite_refusal,15,7,6,0.5144220962607317,0.4866789331890804,0.42857142857142866,0.3714285714285715,polite
expert_refusal,29,merge_all_linear,29,7,6,0.5954968082511278,0.9883567128778009,0.42857142857142866,0.942857142857143,refusal
expert_refusal,29,merge_arith_refusal,29,7,6,0.7125514610366362,0.992924453412117,0.5714285714285715,0.8857142857142858,refusal
expert_refusal,29,merge_polite_refusal,29,7,6,0.7159835699800102,0.7391605383333671,0.5357142857142858,0.3714285714285715,refusal
