benign_gap_closed,benign_refusal_loss,dim_per_layer,harmful_gap_closed,harmful_refusal_loss,layers,n_layers,specificity,variant
1.0,0.45986703725961536,full,1.0,0.08910663311298077,12+13+14+15+16+17+18+19+20+21+22+23+24,13,0.0,base
0.9176540758359336,0.6724759615384616,64,0.9550855644646058,0.18449519230769232,12+13+14+15+16+17+18+19+20+21+22+23+24,13,0.03743148862867218,pca_rank64
0.9558266233152218,0.5739182692307693,full,0.9276863660580658,0.24268517127403846,12+13+14+15+16+17+18+19+20+21+22+23+24,13,-0.028140257257156076,full_12_24_mlp
0.9070489740400491,0.6998572716346154,16,0.9060968411558332,0.28853665865384615,12+13+14+15+16+17+18+19+20+21+22+23+24,13,-0.0009521328842159171,pca_rank16
0.8346171470966898,0.8868689903846154,1,0.8531554176089701,0.40097280649038464,12+13+14+15+16+17+18+19+20+21+22+23+24,13,0.018538270512280297,mean_delta_rank1
0.7790749267171464,1.0302734375,4,0.8450201061569718,0.41825045072115385,12+13+14+15+16+17+18+19+20+21+22+23+24,13,0.06594517943982536,pca_rank4
0.7983357700336773,0.9805438701923077,256,0.8437467530601372,0.4209547776442308,12+13+14+15+16+17+18+19+20+21+22+23+24,13,0.04541098302645996,top_neuron_k256
0.5577497981539268,1.6017127403846154,64,0.6096885369482413,0.9180438701923077,12+13+14+15+16+17+18+19+20+21+22+23+24,13,0.05193873879431454,top_neuron_k64
0.45731410158494634,1.8610276442307692,1,0.591861593592558,0.9559044471153846,12+13+14+15+16+17+18+19+20+21+22+23+24,13,0.13454749200761162,pca_rank1
0.1398884209454397,2.6805889423076925,1,0.3709348312917681,1.4251051682692308,12+13+14+15+16+17+18+19+20+21+22+23+24,13,0.23104641034632836,refusal_direction_rank1
0.3578094427593631,2.117938701923077,16,0.34309791775819115,1.4842247596153846,12+13+14+15+16+17+18+19+20+21+22+23+24,13,-0.014711525001171954,top_neuron_k16
0.19639077399786162,2.5347055288461537,64,0.2296280084624925,1.7252103365384615,12+13+14+15+16+17+18+19+20+21+22+23+24,13,0.033237234464630894,random_rank64
0.026418195968897506,2.9735576923076925,16,0.07746231339076691,2.0483774038461537,12+13+14+15+16+17+18+19+20+21+22+23+24,13,0.0510441174218694,random_rank16
0.0015129363330205628,3.037860576923077,4,0.02221293735589117,2.165715144230769,12+13+14+15+16+17+18+19+20+21+22+23+24,13,0.020700001022870607,random_rank4
0.0073319222292536155,3.0228365384615383,1,0.007710860419720252,2.196514423076923,12+13+14+15+16+17+18+19+20+21+22+23+24,13,0.0003789381904666369,random_rank1
0.0,3.041766826923077,0,0.0,2.212890625,12+13+14+15+16+17+18+19+20+21+22+23+24,13,0.0,abliterated
