model,n_values,sample_l2,sample_max_abs,sample_mean_abs
matrix,114235,121.13837432861328,37.0,0.031212667003273964
math_slerp,114235,51.9908447265625,15.0,0.016011815518140793
abliterated,114235,0.13200518488883972,0.01513671875,0.00013601378304883838
