benign_gap_closed,benign_refusal_loss,full_layers,harmful_gap_closed,harmful_gap_closed_vs_pca64,harmful_refusal_loss,variant
1.0,0.40892928685897434,base,1.0,0.0,0.12550706129807693,base
0.0,3.1468349358974357,abliterated,0.0,0.0,2.6845953525641026,abliterated
0.9114147483560605,0.6514673477564102,,0.9448212935941624,0.0,0.26671424278846156,pca64
0.9244565167686413,0.6157602163461539,20+21+23,0.9453105315815352,0.008866427273130603,0.2654622395833333,pca64_plus_full_20+21+23
0.9601979129512259,0.5179036458333334,20+21+22+23+24,0.9561398144320313,0.20512479496386946,0.2377491486378205,pca64_plus_full_20+21+22+23+24
0.9521771339204873,0.539863782051282,12+13+14+15+16+17+18+19+20+21+22+23+24,0.9405698154838932,-0.07704925300350218,0.27759415064102566,full_12_24
