abs_sum,coord,group,layer,mask,rank,sq_sum
10.293943486642092,38,benign_account_recovery,16,all,1,2.928960836636906
10.053226955235004,1421,benign_account_recovery,16,all,2,2.99708523418337
9.845251969993114,793,benign_account_recovery,16,all,3,2.147765716412795
8.856996785849333,660,benign_account_recovery,16,all,4,1.9145466742022825
8.572065110318363,1285,benign_account_recovery,16,all,5,1.5986401060180175
8.289964457973838,696,benign_account_recovery,16,all,6,1.5293601948118145
8.228019170463085,565,benign_account_recovery,16,all,7,1.6905617866932692
8.09293844923377,631,benign_account_recovery,16,all,8,2.0122653696900827
8.074147844687104,1076,benign_account_recovery,16,all,9,1.6030104106074763
7.989672588068061,1133,benign_account_recovery,16,all,10,1.6401089035536978
7.979650723282248,675,benign_account_recovery,16,all,11,1.502098401728276
7.9372139275074005,803,benign_account_recovery,16,all,12,1.7056087035295502
7.890448030084372,1216,benign_account_recovery,16,all,13,1.451564024991573
7.874405218288302,1077,benign_account_recovery,16,all,14,1.6104476909135543
7.848359210416675,592,benign_account_recovery,16,all,15,2.0760811083094275
7.791283622384071,569,benign_account_recovery,16,all,16,1.495308040693545
7.784316809847951,349,benign_account_recovery,16,all,17,1.4865538485216683
7.679411139339209,997,benign_account_recovery,16,all,18,1.4620335188761366
7.6661309455521405,1048,benign_account_recovery,16,all,19,1.4531047431802244
7.642520200461149,113,benign_account_recovery,16,all,20,1.4126590578234435
3.9105307161808014,369,benign_account_recovery,16,target,1,1.380435169566692
3.843932807445526,1421,benign_account_recovery,16,target,2,1.3405780297572143
3.832228273153305,3,benign_account_recovery,16,target,3,1.897751012300442
3.4919333197176456,1205,benign_account_recovery,16,target,4,1.4611492074567094
3.480352446436882,876,benign_account_recovery,16,target,5,1.3040796593478523
3.411113416776061,1124,benign_account_recovery,16,target,6,1.1827500847070345
3.3959162533283234,803,benign_account_recovery,16,target,7,1.0719133069026365
3.395721346139908,38,benign_account_recovery,16,target,8,1.332706798961969
3.3798347041010857,631,benign_account_recovery,16,target,9,1.3215039526286565
3.318447381258011,1260,benign_account_recovery,16,target,10,1.0761226002397706
3.2573565244674683,1391,benign_account_recovery,16,target,11,0.9645972477778177
3.2174177542328835,427,benign_account_recovery,16,target,12,1.0248984030026267
3.1625147946178913,883,benign_account_recovery,16,target,13,1.0406599466714488
3.159360259771347,318,benign_account_recovery,16,target,14,0.9269068266778944
3.103427156805992,592,benign_account_recovery,16,target,15,1.0657101357725158
3.0932712107896805,1003,benign_account_recovery,16,target,16,0.9719345448978565
3.0643115043640137,113,benign_account_recovery,16,target,17,0.8179101902335701
3.0163985788822174,1291,benign_account_recovery,16,target,18,1.046308914652792
2.9725689813494682,1202,benign_account_recovery,16,target,19,0.9147565699012055
2.959763839840889,311,benign_account_recovery,16,target,20,0.9512842707061131
10.942610763013363,1411,benign_account_recovery,17,all,1,2.9753884512378983
9.501197721809149,756,benign_account_recovery,17,all,2,2.5176732155638195
9.28762543015182,520,benign_account_recovery,17,all,3,2.490122104440845
8.905664637684822,1519,benign_account_recovery,17,all,4,1.8616547947820292
8.81014034897089,1421,benign_account_recovery,17,all,5,2.3172174163136665
8.774823615327477,1008,benign_account_recovery,17,all,6,2.5249217805797413
8.753581453114748,722,benign_account_recovery,17,all,7,2.1462497202171864
8.73483894765377,178,benign_account_recovery,17,all,8,1.786674825740067
8.719341177493334,1241,benign_account_recovery,17,all,9,1.793899446711962
8.707697845995426,944,benign_account_recovery,17,all,10,1.89013723652994
8.705928139388561,912,benign_account_recovery,17,all,11,2.7039168934187883
8.56820054538548,1461,benign_account_recovery,17,all,12,1.928435426283577
8.511702522169799,287,benign_account_recovery,17,all,13,2.6159434325637987
