a_energy_in_b_top1024,a_energy_in_b_top256,a_energy_in_b_top512,a_energy_in_b_top64,b_energy_in_a_top1024,b_energy_in_a_top256,b_energy_in_a_top512,b_energy_in_a_top64,group_a,group_b,layer,mask,mean_residual_cosine,top1024_jaccard,top256_jaccard,top512_jaccard,top64_jaccard
0.749328823042135,0.2523143019512206,0.44031848426140247,0.0806489098579903,0.7536562071693249,0.251901668014385,0.44098501433760345,0.07808666425350966,benign_account_recovery,benign_remove_tracking,16,all,0.8985629677772522,0.7210084033613445,0.5609756097560976,0.6279809220985691,0.47126436781609193
0.7378507015492718,0.2309995347723902,0.41412957456076643,0.07257944261624104,0.7376303434604857,0.22467274155133826,0.4087066975233679,0.0677668012212486,benign_account_recovery,one_time_code,16,all,0.7952609658241272,0.673202614379085,0.4065934065934066,0.49707602339181284,0.31958762886597936
0.7412805325135429,0.24596125669492783,0.4260791066675449,0.07650567798493325,0.7467003646626472,0.25161247178060914,0.4325445838437785,0.0803411199597842,benign_account_recovery,permission_slip,16,all,0.8399702310562134,0.6897689768976898,0.5283582089552239,0.5657492354740061,0.43820224719101125
0.7522265072326667,0.24656527770034173,0.43326703325628224,0.07856661912053317,0.7582820342515477,0.2588873602249888,0.44934380048713707,0.0839220929497714,benign_account_recovery,tracking_original,16,all,0.8853310346603394,0.7152428810720268,0.5375375375375375,0.6125984251968504,0.4883720930232558
0.7405459836553975,0.22569047793330807,0.41306100192650014,0.07040835391071205,0.7398433939993675,0.2202386243906318,0.40534387688255213,0.06696864621665018,benign_remove_tracking,one_time_code,16,all,0.7875880599021912,0.695364238410596,0.391304347826087,0.4948905109489051,0.3333333333333333
0.7458574891162068,0.24295565185472215,0.4247562441679744,0.07746500878304682,0.7460157290219012,0.24585399522156437,0.43482043374030827,0.08138639158671357,benign_remove_tracking,permission_slip,16,all,0.8582180142402649,0.7009966777408638,0.49707602339181284,0.5875968992248062,0.4883720930232558
0.7711232941443174,0.2568429028617952,0.451106556452787,0.08405479155295137,0.7748712101520981,0.2717186109870326,0.4671500436649803,0.08786737162370463,benign_remove_tracking,tracking_original,16,all,0.957520604133606,0.7762359063313097,0.620253164556962,0.7095158597662772,0.6410256410256411
0.7444085624010939,0.23052937425361822,0.41746483779827603,0.06818703400437086,0.7421599233195884,0.24077266556591034,0.429741408925812,0.07704436451151676,one_time_code,permission_slip,16,all,0.8225944638252258,0.695364238410596,0.45454545454545453,0.5375375375375375,0.31958762886597936
0.7369838311976683,0.21980368931001731,0.40658523112096384,0.06514171224460971,0.7446376063966426,0.23572687294892877,0.4262001575242752,0.07291453372272973,one_time_code,tracking_original,16,all,0.8067684769630432,0.6759410801963993,0.4065934065934066,0.5170370370370371,0.28
0.7502941934801691,0.25142083757803585,0.4389647605996682,0.07956007018656658,0.7549564287836024,0.25980428551938084,0.4417061787760227,0.08403088116942743,permission_slip,tracking_original,16,all,0.8799640536308289,0.7080900750625522,0.5468277945619335,0.6075353218210361,0.4883720930232558
