loss_arith,loss_delta_vs_merge_arith_polite_arith,loss_delta_vs_merge_arith_polite_mean,loss_delta_vs_merge_arith_polite_polite,loss_delta_vs_merge_arith_polite_refusal,loss_mean,loss_polite,loss_refusal,loss_worst,model
2.309778928756714,-0.7255144119262695,0.7513243456681569,-0.07126739621162415,3.0507548451423645,1.058456281820933,0.37870752811431885,0.48688238859176636,2.309778928756714,merge_all_linear
1.4577713012695312,0.12649321556091309,0.6288217107454936,-1.4622683823108673,3.222240298986435,1.1809589167435963,1.769708514213562,0.3153969347476959,1.769708514213562,merge_arith_refusal
1.9137356281280518,-0.3294711112976074,0.39248680075009656,-0.040838152170181274,1.5477696657180786,1.4172938267389934,0.348278284072876,1.9898675680160522,1.9898675680160522,micro_refusal_l15_l20_l25_l29_mlp_attn
1.852325677871704,-0.26806116104125977,0.31315882007280993,-0.026995211839675903,1.2345328330993652,1.49662180741628,0.3344353437423706,2.3031044006347656,2.3031044006347656,micro_refusal_l15_l20_l25_l29_mlp
1.848421335220337,-0.2641568183898926,0.2559071282545726,-0.03141525387763977,1.06329345703125,1.5538734992345173,0.3388553857803345,2.474343776702881,2.474343776702881,micro_refusal_l20_l25_l29_mlp_attn
1.8159987926483154,-0.2317342758178711,0.21005170543988538,-0.022088736295700073,0.8839781284332275,1.5997289220492046,0.3295288681983948,2.6536591053009033,2.6536591053009033,micro_refusal_l20_l25_l29_mlp
1.7542375326156616,-0.16997301578521729,0.18526155749956774,-0.020249992609024048,0.7460076808929443,1.6245190699895222,0.32769012451171875,2.7916295528411865,2.7916295528411865,micro_refusal_l25_l29_block
1.729846477508545,-0.14558196067810059,0.1559996704260509,-0.016240328550338745,0.6298213005065918,1.653780957063039,0.32368046045303345,2.907815933227539,2.907815933227539,micro_refusal_l25_l29_mlp
1.714877963066101,-0.13061344623565674,0.11011546850204468,-0.01193004846572876,0.47288990020751953,1.6996651589870453,0.31937018036842346,3.0647473335266113,3.0647473335266113,micro_refusal_l29_block
1.6981737613677979,-0.11390924453735352,0.10160509745279955,-0.00993204116821289,0.42865657806396484,1.7081755300362904,0.3173721730709076,3.108980655670166,3.108980655670166,micro_refusal_l29_mlp
1.6330965757369995,-0.048832058906555176,0.09595468640327454,-0.0033741295337677,0.3400702476501465,1.7138259410858154,0.3108142614364624,3.1975669860839844,3.1975669860839844,micro_refusal_l15_l20_l25_l29_attn
1.6010229587554932,-0.016758441925048828,0.0639481246471405,-0.0021637380123138428,0.21076655387878418,1.7458325028419495,0.30960386991500854,3.3268706798553467,3.3268706798553467,micro_refusal_l20_l25_l29_attn
1.5842645168304443,0.0,0.0,0.0,0.0,1.80978062748909,0.3074401319026947,3.537637233734131,3.537637233734131,merge_arith_polite
7.612951278686523,-6.028686761856079,-1.9403183410565057,-3.0947908461093903,3.302522584795952,3.7500989685455957,3.402230978012085,0.23511464893817902,7.612951278686523,expert_refusal
8.606549263000488,-7.022284746170044,-3.0368903179963427,-2.0364071428775787,-0.05197906494140625,4.846670945485433,2.3438472747802734,3.589616298675537,8.606549263000488,base
