layer_group,layers,eval_slice,eval_start,examples_per_split,budget,patch_token_filter,variant,harmful_clean,unsafe,benign_helpful,source_dir
all,12-20,4:8,4,4,k512,assistant_boundary_or_generated,mix_decode_delta_abs_k512,0.75,0.0,1.0,/home/gavin/model_merging/stage3/results/gemma2_2b_gemmascope_mlp_sae_boundary_generated_budget_v0/all_12_20_eval_4_8_patch_assistant_boundary_or_generated_k512
all,12-20,8:12,8,4,k512,assistant_boundary_or_generated,mix_decode_delta_abs_k512,0.5,0.0,1.0,/home/gavin/model_merging/stage3/results/gemma2_2b_gemmascope_mlp_sae_boundary_generated_budget_v0/all_12_20_eval_8_12_patch_assistant_boundary_or_generated_k512
