donor_expert,expert_loss,gap_closed_to_expert,layer,loss_improvement,module,patched_loss,recipient_contains_task,recipient_model,recipient_original_loss,task
expert_arith,1.0046685934066772,0.03299059889369471,15,0.2507905960083008,attn,8.355758666992188,False,base,8.606549263000488,arith
expert_arith,1.0046685934066772,0.06418773001014895,15,0.4879474639892578,mlp,8.11860179901123,False,base,8.606549263000488,arith
expert_arith,1.0046685934066772,0.10271027875731288,15,0.7807912826538086,block,7.82575798034668,False,base,8.606549263000488,arith
expert_arith,1.0046685934066772,0.009736989474714571,29,0.0740194320678711,attn,8.532529830932617,False,base,8.606549263000488,arith
expert_arith,1.0046685934066772,0.07068440896315505,29,0.5373344421386719,mlp,8.069214820861816,False,base,8.606549263000488,arith
expert_arith,1.0046685934066772,0.08054239729567239,29,0.6122736930847168,block,7.9942755699157715,False,base,8.606549263000488,arith
expert_arith,1.0046685934066772,0.039317471708912054,15,0.05131363868713379,attn,2.25846529006958,True,merge_all_linear,2.309778928756714,arith
expert_arith,1.0046685934066772,0.07110082252936342,15,0.09279441833496094,mlp,2.216984510421753,True,merge_all_linear,2.309778928756714,arith
expert_arith,1.0046685934066772,0.11027763003469382,15,0.14392447471618652,block,2.1658544540405273,True,merge_all_linear,2.309778928756714,arith
expert_arith,1.0046685934066772,0.019841142617152502,29,0.025894880294799805,attn,2.283884048461914,True,merge_all_linear,2.309778928756714,arith
expert_arith,1.0046685934066772,0.06323586674131003,29,0.08252978324890137,mlp,2.2272491455078125,True,merge_all_linear,2.309778928756714,arith
expert_arith,1.0046685934066772,0.08143142085734101,29,0.1062769889831543,block,2.2035019397735596,True,merge_all_linear,2.309778928756714,arith
expert_arith,1.0046685934066772,0.030341404561042024,15,0.01758575439453125,attn,1.566678762435913,True,merge_arith_polite,1.5842645168304443,arith
expert_arith,1.0046685934066772,0.06687305622806074,15,0.03875935077667236,mlp,1.545505166053772,True,merge_arith_polite,1.5842645168304443,arith
expert_arith,1.0046685934066772,0.08745490284559676,15,0.05068850517272949,block,1.5335760116577148,True,merge_arith_polite,1.5842645168304443,arith
expert_arith,1.0046685934066772,0.024767981426584887,29,0.01435542106628418,attn,1.5699090957641602,True,merge_arith_polite,1.5842645168304443,arith
expert_arith,1.0046685934066772,0.014778271424349183,29,0.008565425872802734,mlp,1.5756990909576416,True,merge_arith_polite,1.5842645168304443,arith
expert_arith,1.0046685934066772,0.02847098202119579,29,0.016501665115356445,block,1.567762851715088,True,merge_arith_polite,1.5842645168304443,arith
expert_arith,1.0046685934066772,0.05822461568980618,15,0.026381731033325195,attn,1.431389570236206,True,merge_arith_refusal,1.4577713012695312,arith
expert_arith,1.0046685934066772,0.09385985059858176,15,0.04252815246582031,mlp,1.415243148803711,True,merge_arith_refusal,1.4577713012695312,arith
expert_arith,1.0046685934066772,0.13319262985276387,15,0.06034994125366211,block,1.3974213600158691,True,merge_arith_refusal,1.4577713012695312,arith
expert_arith,1.0046685934066772,0.02176747039715057,29,0.009862899780273438,attn,1.4479084014892578,True,merge_arith_refusal,1.4577713012695312,arith
expert_arith,1.0046685934066772,0.0702512377986167,29,0.03183102607727051,mlp,1.4259402751922607,True,merge_arith_refusal,1.4577713012695312,arith
expert_arith,1.0046685934066772,0.09057378763614206,29,0.041039228439331055,block,1.4167320728302002,True,merge_arith_refusal,1.4577713012695312,arith
expert_arith,1.0046685934066772,0.05825588705727673,15,0.3458223342895508,attn,6.5951104164123535,False,merge_polite_refusal,6.940932750701904,arith
expert_arith,1.0046685934066772,0.09416584652009008,15,0.5589933395385742,mlp,6.38193941116333,False,merge_polite_refusal,6.940932750701904,arith
expert_arith,1.0046685934066772,0.1512794156064805,15,0.8980345726013184,block,6.042898178100586,False,merge_polite_refusal,6.940932750701904,arith
