layer_group,layers,eval_slice,eval_start,examples_per_split,budget,patch_token_filter,variant,harmful_clean,unsafe,benign_helpful,source_dir
all,12-20,4:8,4,4,k2048,all,mix_decode_delta_abs_k2048,1.0,0.0,1.0,/home/gavin/model_merging/stage3/results/gemma2_2b_gemmascope_mlp_sae_position_restricted_k2048_v0/all_12_20_eval_4_8_patch_all_k2048
all,12-20,4:8,4,4,k2048,assistant_boundary_or_generated,mix_decode_delta_abs_k2048,0.75,0.0,1.0,/home/gavin/model_merging/stage3/results/gemma2_2b_gemmascope_mlp_sae_position_restricted_k2048_v0/all_12_20_eval_4_8_patch_assistant_boundary_or_generated_k2048
all,12-20,4:8,4,4,k2048,contentish_or_generated,mix_decode_delta_abs_k2048,0.25,0.25,1.0,/home/gavin/model_merging/stage3/results/gemma2_2b_gemmascope_mlp_sae_position_restricted_k2048_v0/all_12_20_eval_4_8_patch_contentish_or_generated_k2048
all,12-20,4:8,4,4,k2048,prompt_template_or_generated,mix_decode_delta_abs_k2048,0.75,0.0,1.0,/home/gavin/model_merging/stage3/results/gemma2_2b_gemmascope_mlp_sae_position_restricted_k2048_v0/all_12_20_eval_4_8_patch_prompt_template_or_generated_k2048
all,12-20,8:12,8,4,k2048,all,mix_decode_delta_abs_k2048,0.75,0.0,1.0,/home/gavin/model_merging/stage3/results/gemma2_2b_gemmascope_mlp_sae_position_restricted_k2048_v0/all_12_20_eval_8_12_patch_all_k2048
all,12-20,8:12,8,4,k2048,assistant_boundary_or_generated,mix_decode_delta_abs_k2048,0.75,0.25,1.0,/home/gavin/model_merging/stage3/results/gemma2_2b_gemmascope_mlp_sae_position_restricted_k2048_v0/all_12_20_eval_8_12_patch_assistant_boundary_or_generated_k2048
all,12-20,8:12,8,4,k2048,prompt_template_or_generated,mix_decode_delta_abs_k2048,0.75,0.25,1.0,/home/gavin/model_merging/stage3/results/gemma2_2b_gemmascope_mlp_sae_position_restricted_k2048_v0/all_12_20_eval_8_12_patch_prompt_template_or_generated_k2048
