bundle,feature_ids,layer,selected_features
swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f8754_add_f4326,"1813,4326,6289,8775,9135,9149,12652,12704,13622,14991,15169",20,11
swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f8754_add_f11545,"1813,6289,8775,9135,9149,11545,12652,12704,13622,14991,15169",20,11
swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f8754_add_f7531,"1813,6289,7531,8775,9135,9149,12652,12704,13622,14991,15169",20,11
swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f8754_add_f5990,"1813,5990,6289,8775,9135,9149,12652,12704,13622,14991,15169",20,11
swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f8754_add_f1338,"1338,1813,6289,8775,9135,9149,12652,12704,13622,14991,15169",20,11
swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f8754_add_f321,"321,1813,6289,8775,9135,9149,12652,12704,13622,14991,15169",20,11
swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f8754_add_f12313,"1813,6289,8775,9135,9149,12313,12652,12704,13622,14991,15169",20,11
swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f8754_add_f1100,"1100,1813,6289,8775,9135,9149,12652,12704,13622,14991,15169",20,11
swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f8775_add_f12963,"1813,6289,8754,9135,9149,12652,12704,12963,13622,14991,15169",20,11
swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f8775_add_f13060,"1813,6289,8754,9135,9149,12652,12704,13060,13622,14991,15169",20,11
swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f8775_add_f6169,"1813,6169,6289,8754,9135,9149,12652,12704,13622,14991,15169",20,11
swap1_critical11_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f8775_add_f13882,"1813,6289,8754,9135,9149,12652,12704,13622,13882,14991,15169",20,11
