key,n,pass_count,tie_count,fail_count,mean_margin,max_margin,min_margin
7531,21,3,10,8,-0.044642857142857144,0.015625,-0.40625
8775,1,1,0,0,0.015625,0.015625,0.015625
1338,11,1,6,4,-0.041193181818181816,0.015625,-0.40625
9407,21,1,6,14,-0.04985119047619048,0.015625,-0.40625
13854,21,0,15,6,-0.04241071428571429,0.0,-0.40625
1100,21,0,15,6,-0.043154761904761904,0.0,-0.40625
4339,21,0,14,7,-0.046130952380952384,0.0,-0.40625
13060,21,0,13,8,-0.046875,0.0,-0.40625
321,21,0,12,9,-0.049107142857142856,0.0,-0.421875
3850,21,0,8,13,-0.050595238095238096,0.0,-0.40625
4326,21,0,8,13,-0.05133928571428571,0.0,-0.40625
9001,21,0,6,15,-0.05133928571428571,0.0,-0.40625
12002,21,0,8,13,-0.052083333333333336,0.0,-0.421875
12313,21,0,9,12,-0.052083333333333336,0.0,-0.40625
13882,21,0,7,14,-0.05282738095238095,0.0,-0.421875
12963,21,0,4,17,-0.05580357142857143,0.0,-0.421875
7965,21,0,6,15,-0.05654761904761905,0.0,-0.421875
5355,21,0,5,16,-0.057291666666666664,0.0,-0.421875
5990,21,0,3,18,-0.060267857142857144,0.0,-0.421875
9024,21,0,3,18,-0.060267857142857144,0.0,-0.421875
11414,21,0,1,20,-0.06101190476190476,0.0,-0.421875
11545,21,0,2,19,-0.061755952380952384,0.0,-0.421875
6169,21,0,0,21,-0.07217261904761904,-0.015625,-0.4375
