condition,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
bundle_patch_random_seed240524_top33_k14_026,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_026,-0.484375,-0.484375,-0.484375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_027,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_027,-0.53125,-0.53125,-0.53125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_028,-3.9453125,-3.9453125,-3.9453125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_028,-0.046875,-0.046875,-0.046875,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_029,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_029,-0.46875,-0.46875,-0.46875,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_030,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_030,-0.15625,-0.15625,-0.15625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_031,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_031,-0.5625,-0.5625,-0.5625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_032,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_032,-0.0625,-0.0625,-0.0625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_033,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_033,-0.125,-0.125,-0.125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_034,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_034,-0.0625,-0.0625,-0.0625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_035,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_035,-0.0625,-0.0625,-0.0625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_036,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_036,-0.453125,-0.453125,-0.453125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_037,-3.9609375,-3.9609375,-3.9609375,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_037,-0.515625,-0.515625,-0.515625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_038,-3.953125,-3.953125,-3.953125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_038,-0.09375,-0.09375,-0.09375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_039,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_039,-0.46875,-0.46875,-0.46875,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_040,-3.9609375,-3.9609375,-3.9609375,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_040,-0.46875,-0.46875,-0.46875,1,harmful,0.0,1.0
