condition,eval_slice,eval_start,k,layer,layer_group,layers,random_seed,score_sum,selected_features,selector,variant
deterministic,4:8,4,all,16,mid_late,"15,16,17,18,19,20",,,all,all,full_decode
deterministic,4:8,4,all,17,mid_late,"15,16,17,18,19,20",,,all,all,full_decode
deterministic,4:8,4,all,18,mid_late,"15,16,17,18,19,20",,,all,all,full_decode
deterministic,4:8,4,all,19,mid_late,"15,16,17,18,19,20",,,all,all,full_decode
deterministic,4:8,4,all,20,mid_late,"15,16,17,18,19,20",,,all,all,full_decode
deterministic,4:8,4,all,15,mid_late,"15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,4:8,4,all,16,mid_late,"15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,4:8,4,all,17,mid_late,"15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,4:8,4,all,18,mid_late,"15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,4:8,4,all,19,mid_late,"15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,4:8,4,all,20,mid_late,"15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,4:8,4,1024,15,mid_late,"15,16,17,18,19,20",,2386.951171875,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,4:8,4,1024,16,mid_late,"15,16,17,18,19,20",,2268.193359375,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,4:8,4,1024,17,mid_late,"15,16,17,18,19,20",,2717.767578125,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,4:8,4,1024,18,mid_late,"15,16,17,18,19,20",,3329.482421875,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,4:8,4,1024,19,mid_late,"15,16,17,18,19,20",,3043.90234375,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,4:8,4,1024,20,mid_late,"15,16,17,18,19,20",,3095.6640625,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,4:8,4,2048,15,mid_late,"15,16,17,18,19,20",,2403.408203125,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,4:8,4,2048,16,mid_late,"15,16,17,18,19,20",,2271.283203125,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,4:8,4,2048,17,mid_late,"15,16,17,18,19,20",,2735.533203125,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,4:8,4,2048,18,mid_late,"15,16,17,18,19,20",,3588.328125,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,4:8,4,2048,19,mid_late,"15,16,17,18,19,20",,3202.28125,2048,delta_abs,mix_decode_delta_abs_k2048
deterministic,4:8,4,2048,20,mid_late,"15,16,17,18,19,20",,3224.609375,2048,delta_abs,mix_decode_delta_abs_k2048
random,4:8,4,1024,15,mid_late,"15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,16,mid_late,"15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,17,mid_late,"15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,18,mid_late,"15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,19,mid_late,"15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,20,mid_late,"15,16,17,18,19,20",0,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,2048,15,mid_late,"15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,16,mid_late,"15,16,17,18,19,20",0,,1893,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,17,mid_late,"15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,18,mid_late,"15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,19,mid_late,"15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,20,mid_late,"15,16,17,18,19,20",0,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,1024,15,mid_late,"15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,16,mid_late,"15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,17,mid_late,"15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,18,mid_late,"15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,19,mid_late,"15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,20,mid_late,"15,16,17,18,19,20",1,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,2048,15,mid_late,"15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,16,mid_late,"15,16,17,18,19,20",1,,1893,random_active,mix_decode_random_active_k2048
