alpha,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
0.8,0.8125,-3.6682942708333335,-6.953125,24,benign,0.08333333333333333,0.2916666666666667
0.8,8.2578125,4.541666666666667,-4.21875,24,harmful,0.9166666666666666,0.041666666666666664
0.81,0.84375,-3.65234375,-6.9609375,24,benign,0.08333333333333333,0.2916666666666667
0.81,8.3046875,4.6201171875,-4.1953125,24,harmful,0.9583333333333334,0.0
0.82,0.890625,-3.6559244791666665,-6.984375,24,benign,0.08333333333333333,0.2916666666666667
0.82,8.375,4.701497395833333,-4.1953125,24,harmful,0.9583333333333334,0.0
