layer,model_a,model_b,n,row_cosine,split
23,qwen2_5_instruct,amadeus_ptbr,8,0.6869009733200073,arith
23,qwen2_5_instruct,amadeus_ptbr,8,0.7882776260375977,polite
0,sjt,ko_merge,8,0.9970996975898743,harmful
0,sjt,ko_merge,8,0.9970996975898743,benign
0,sjt,ko_merge,8,0.9972249269485474,arith
0,sjt,ko_merge,8,0.9971344470977783,polite
4,sjt,ko_merge,8,0.9734328985214233,harmful
4,sjt,ko_merge,8,0.9703142046928406,benign
4,sjt,ko_merge,8,0.9701095819473267,arith
4,sjt,ko_merge,8,0.9723167419433594,polite
8,sjt,ko_merge,8,0.9834432601928711,harmful
8,sjt,ko_merge,8,0.9819998741149902,benign
8,sjt,ko_merge,8,0.9767413139343262,arith
8,sjt,ko_merge,8,0.9812041521072388,polite
12,sjt,ko_merge,8,0.9854140281677246,harmful
12,sjt,ko_merge,8,0.9828543663024902,benign
12,sjt,ko_merge,8,0.974949836730957,arith
12,sjt,ko_merge,8,0.9849627017974854,polite
16,sjt,ko_merge,8,0.9730411767959595,harmful
16,sjt,ko_merge,8,0.973883330821991,benign
16,sjt,ko_merge,8,0.977255642414093,arith
16,sjt,ko_merge,8,0.9723484516143799,polite
20,sjt,ko_merge,8,0.9705286622047424,harmful
20,sjt,ko_merge,8,0.978248655796051,benign
20,sjt,ko_merge,8,0.9697250723838806,arith
20,sjt,ko_merge,8,0.9547649025917053,polite
23,sjt,ko_merge,8,0.9256672263145447,harmful
23,sjt,ko_merge,8,0.9624579548835754,benign
23,sjt,ko_merge,8,0.9517013430595398,arith
23,sjt,ko_merge,8,0.8601622581481934,polite
0,sjt,amadeus_ptbr,8,0.9893384575843811,harmful
0,sjt,amadeus_ptbr,8,0.9891424179077148,benign
0,sjt,amadeus_ptbr,8,0.989346981048584,arith
0,sjt,amadeus_ptbr,8,0.9895736575126648,polite
4,sjt,amadeus_ptbr,8,0.8617882132530212,harmful
4,sjt,amadeus_ptbr,8,0.862707793712616,benign
4,sjt,amadeus_ptbr,8,0.8518750071525574,arith
4,sjt,amadeus_ptbr,8,0.872087299823761,polite
8,sjt,amadeus_ptbr,8,0.8197590708732605,harmful
8,sjt,amadeus_ptbr,8,0.8323838114738464,benign
8,sjt,amadeus_ptbr,8,0.8374619483947754,arith
8,sjt,amadeus_ptbr,8,0.8486865162849426,polite
12,sjt,amadeus_ptbr,8,0.9035695195198059,harmful
12,sjt,amadeus_ptbr,8,0.9056441187858582,benign
12,sjt,amadeus_ptbr,8,0.8762526512145996,arith
12,sjt,amadeus_ptbr,8,0.8883792757987976,polite
16,sjt,amadeus_ptbr,8,0.9323639869689941,harmful
16,sjt,amadeus_ptbr,8,0.9421051144599915,benign
16,sjt,amadeus_ptbr,8,0.6771431565284729,arith
16,sjt,amadeus_ptbr,8,0.868586003780365,polite
