rank,layer,feature_id,positive_alignment,signed_alignment,contribution_norm,feature_delta_abs,donor_mean,recipient_mean,active_fraction,token_count
33,20,12899,144.5474090576172,144.5474090576172,42.843910217285156,0.25,0.2677734375,0.2693359375,0.0125,160
34,20,1985,143.45138549804688,143.45138549804688,354.7207336425781,10.4375,2.2169921875,2.2318359375,0.3125,160
35,20,3590,139.6249237060547,139.6249237060547,51.87468719482422,3.87109375,0.32421875,0.3000244140625,0.03125,160
36,20,6965,136.30763244628906,136.30763244628906,219.89578247070312,4.3046875,1.374365234375,1.367578125,0.1375,160
37,20,10334,134.42044067382812,134.42044067382812,108.12081146240234,14.65625,0.6757568359375,0.6350830078125,0.10625,160
38,20,10669,131.17282104492188,131.17282104492188,26.874794006347656,3.671875,0.16796875,0.14501953125,0.00625,160
39,20,4196,130.9077606201172,130.9077606201172,134.58517456054688,5.43359375,0.841162109375,0.8157958984375,0.1125,160
40,20,508,124.43903350830078,124.43903350830078,61.80497360229492,0.8828125,0.386279296875,0.3841796875,0.03125,160
41,20,8145,124.18274688720703,124.18274688720703,76.24207305908203,2.984375,0.476513671875,0.457861328125,0.0375,160
42,20,5971,123.31182861328125,123.31182861328125,159.1143798828125,15.59765625,0.9944580078125,0.89697265625,0.15625,160
43,20,13282,123.08558654785156,123.08558654785156,123.55524444580078,19.30078125,0.772216796875,0.6515869140625,0.09375,160
44,20,634,121.99279022216797,121.99279022216797,52.98456573486328,2.1875,0.33115234375,0.31748046875,0.025,160
45,20,9037,118.4822998046875,118.4822998046875,64.64192962646484,0.703125,0.40400390625,0.40263671875,0.05625,160
46,20,473,117.79391479492188,117.79391479492188,135.89822387695312,41.1796875,0.849365234375,0.5919921875,0.14375,160
47,20,12089,117.1584243774414,117.1584243774414,106.04674530029297,6.53125,0.66279296875,0.69638671875,0.08125,160
48,20,3057,109.98326110839844,109.98326110839844,61.49953079223633,2.578125,0.384375,0.37353515625,0.04375,160
49,20,1391,108.96546936035156,108.96546936035156,27.140413284301758,0.7265625,0.16962890625,0.167626953125,0.01875,160
50,20,4392,107.71949768066406,107.71949768066406,216.39862060546875,5.484375,1.352490234375,1.36826171875,0.13125,160
51,20,4080,107.49637603759766,107.49637603759766,57.32120132446289,0.5703125,0.358251953125,0.35517578125,0.0125,160
52,20,5576,106.671630859375,106.671630859375,53.51555633544922,0.6328125,0.33447265625,0.331884765625,0.03125,160
53,20,3274,106.55789947509766,106.55789947509766,295.62982177734375,15.515625,1.8476806640625,1.8817138671875,0.19375,160
54,20,5653,106.45622253417969,106.45622253417969,137.4925079345703,8.5390625,0.859326171875,0.84755859375,0.14375,160
55,20,14463,106.07362365722656,106.07362365722656,70.50035095214844,1.8359375,0.440625,0.434326171875,0.05,160
56,20,12844,102.10134887695312,102.10134887695312,627.485595703125,7.7265625,3.92177734375,3.903662109375,0.30625,160
57,20,9672,100.6356201171875,100.6356201171875,29.21885871887207,0.59375,0.1826171875,0.186328125,0.00625,160
58,20,2305,100.52627563476562,100.52627563476562,246.01699829101562,10.6171875,1.53759765625,1.482568359375,0.15,160
59,20,9804,100.35907745361328,100.35907745361328,152.8433380126953,3.6875,0.9552734375,0.960546875,0.1125,160
60,20,1529,98.07957458496094,98.07957458496094,33.003841400146484,1.78125,0.2062744140625,0.1972900390625,0.0125,160
61,20,11386,96.54582214355469,96.54582214355469,88.4845962524414,0.9765625,0.55302734375,0.546923828125,0.03125,160
62,20,7289,96.50315856933594,96.50315856933594,80.85111236572266,0.9921875,0.505322265625,0.500390625,0.05,160
63,20,15735,95.25711059570312,95.25711059570312,56.242313385009766,0.90625,0.351513671875,0.349560546875,0.03125,160
64,20,5289,93.29950714111328,93.29950714111328,32.4378547668457,0.6484375,0.202734375,0.201220703125,0.03125,160
65,20,6332,92.50724029541016,92.50724029541016,85.87859344482422,8.05859375,0.5367431640625,0.492626953125,0.05625,160
66,20,12511,91.20264434814453,91.20264434814453,72.01178741455078,15.27734375,0.4500732421875,0.35458984375,0.075,160
67,20,11466,90.10069274902344,90.10069274902344,93.33586883544922,1.60546875,0.583349609375,0.5874755859375,0.08125,160
68,20,13752,89.46170806884766,89.46170806884766,73.10108947753906,2.5234375,0.456884765625,0.44599609375,0.03125,160
69,20,16295,88.83222961425781,88.83222961425781,112.55690002441406,1.6953125,0.703466796875,0.70478515625,0.125,160
70,20,8830,88.04438018798828,88.04438018798828,33.49987030029297,0.1875,0.209375,0.208203125,0.00625,160
71,20,10770,87.97974395751953,87.97974395751953,103.33080291748047,5.4765625,0.6458251953125,0.6115966796875,0.08125,160
72,20,10547,86.7038345336914,86.7038345336914,135.9903106689453,5.8203125,0.849951171875,0.83212890625,0.15,160
73,20,11441,86.0142822265625,86.0142822265625,41.421566009521484,1.109375,0.25888671875,0.25556640625,0.025,160
74,20,11229,85.38469696044922,85.38469696044922,151.4999237060547,6.13671875,0.946875,0.9463623046875,0.075,160
75,20,8555,84.51419830322266,84.51419830322266,91.37411499023438,1.671875,0.57109375,0.5658203125,0.04375,160
76,20,10805,84.44994354248047,84.44994354248047,28.53154182434082,0.90625,0.1783203125,0.17265625,0.00625,160
77,20,15152,78.29142761230469,78.29142761230469,37.89842224121094,0.6328125,0.236865234375,0.23916015625,0.025,160
78,20,15471,77.62654876708984,77.62654876708984,157.46075439453125,6.796875,0.984130859375,1.026611328125,0.06875,160
79,20,10041,76.12728881835938,76.12728881835938,49.25032424926758,1.1484375,0.3078125,0.300634765625,0.0375,160
80,20,4022,76.09622192382812,76.09622192382812,100.44522094726562,10.5,0.627783203125,0.614892578125,0.14375,160
81,20,5987,74.8304443359375,74.8304443359375,534.4934692382812,16.580078125,3.3406005859375,3.33094482421875,0.45,160
82,20,848,73.79988861083984,73.79988861083984,27.328105926513672,0.828125,0.17080078125,0.1724609375,0.025,160
83,20,4078,73.01441955566406,73.01441955566406,67.23468780517578,0.6796875,0.42021484375,0.419384765625,0.04375,160
84,20,14053,72.76028442382812,72.76028442382812,114.63182067871094,13.3828125,0.716455078125,0.6328125,0.1375,160
85,20,4511,70.656494140625,70.656494140625,58.020084381103516,1.625,0.3626220703125,0.3636962890625,0.04375,160
86,20,2719,70.40025329589844,70.40025329589844,37.281341552734375,0.25,0.2330078125,0.2314453125,0.01875,160
