donor_feature_l0_mean,donor_feature_l0_median,donor_recon_cosine,donor_recon_ev,donor_recon_mse,layer,n_tokens,recipient_to_donor_mlp_mse,recon_vs_recipient_gap_closed,sae_file,split
104.3928552355085,100.44047619047619,0.7952120644705636,0.781037828842531,0.5811583503844246,12,84,0.046477541090950134,-11.826489857781562,layer_12/width_16k/average_l0_108/params.npz,benign
115.4303808091562,99.50632911392405,0.7960390146774582,0.7735097794629853,0.6507464273401788,12,79,0.2474307396911535,-1.7031554256913342,layer_12/width_16k/average_l0_108/params.npz,harmful
95.13095229012626,99.55952380952381,0.801555240438098,0.7780334526971583,0.6860594169172659,13,84,0.06545983420477974,-9.74597537202204,layer_13/width_16k/average_l0_112/params.npz,benign
98.41772122926349,101.0,0.7949798786187474,0.7702947333337695,0.753175845461388,13,79,0.4507972728015669,-0.6929624308541995,layer_13/width_16k/average_l0_112/params.npz,harmful
88.16666312444778,89.58333333333333,0.8015155763853163,0.6650650295450161,0.9956830948118179,14,84,0.07846764660386181,-11.96980135041806,layer_14/width_16k/average_l0_97/params.npz,benign
91.59493545339078,88.46835443037975,0.7830323365670216,0.6529386735797632,1.1172168157607023,14,79,0.6788369566411743,-0.6631939148979115,layer_14/width_16k/average_l0_97/params.npz,harmful
63.79761882055374,71.02380952380952,0.8092678458917708,0.6802214083569406,1.2198185189060433,15,84,0.08765624566052957,-13.123330403808858,layer_15/width_16k/average_l0_80/params.npz,benign
67.6202526816839,65.0,0.8017442309403722,0.6577904364175698,1.3582102672292546,15,79,0.8554248407420225,-0.6056010084420956,layer_15/width_16k/average_l0_80/params.npz,harmful
57.69047587258475,56.392857142857146,0.819419923282805,0.7357267049360215,1.3563318000268683,16,84,0.10447275575506623,-12.656007146155162,layer_16/width_16k/average_l0_72/params.npz,benign
61.012658807295786,59.50632911392405,0.8139931687825843,0.7239678884448846,1.5325926017492968,16,79,1.131238376708641,-0.37143844998239567,layer_16/width_16k/average_l0_72/params.npz,harmful
61.559522401718866,64.44047619047619,0.8136249170416877,0.6987794965630395,1.7973844336454199,17,84,0.12068830722223514,-14.459594047438166,layer_17/width_16k/average_l0_68/params.npz,benign
66.74683669850796,61.0,0.8002480879614625,0.6796258829889769,2.013313132499341,17,79,1.36283383054237,-0.4967149325164756,layer_17/width_16k/average_l0_68/params.npz,harmful
112.52380552746001,103.32142857142857,0.8537359620843615,0.6913848160635774,1.6110990816953954,18,84,0.1324585657271128,-11.649373686247186,layer_18/width_16k/average_l0_106/params.npz,benign
118.65822977959355,109.48101265822785,0.8529125346413141,0.6951351315016997,1.656391127703059,18,79,1.692500161386911,0.01543794072336643,layer_18/width_16k/average_l0_106/params.npz,harmful
105.16666267031715,97.41666666666667,0.8556502816222963,0.6389183804108095,1.53072272406684,19,84,0.1253871059922314,-11.907877990612441,layer_19/width_16k/average_l0_109/params.npz,benign
116.25316368779049,92.9113924050633,0.8536711848234828,0.6330214091918438,1.6080845914644868,19,79,1.7398317661634144,0.06460280461473615,layer_19/width_16k/average_l0_109/params.npz,harmful
102.36904598417736,82.48809523809524,0.8598560236749195,0.6371221367061867,1.689208984375,20,84,0.1226628722337188,-13.580353351013319,layer_20/width_16k/average_l0_109/params.npz,benign
105.24050845375544,83.51898734177215,0.85911209824719,0.6359008444225058,1.8416572924907697,20,79,1.6990421686829729,-0.09623491183687359,layer_20/width_16k/average_l0_109/params.npz,harmful
