bundle,feature_ids,layer,selected_features
top50,"3001,5481,8681,10663,10853,14251,14463,16029",14,8
top50,"11128,11444,12753,13009,13336",15,5
top50,"3501,5054,6883,9090,11167,13960,14897,16332",16,8
top50,"2506,4342,10585,10792,16011",17,5
top50,"3602,5054,6077,6727,7189,10121,10415,11127,11214",18,9
top50,"144,1508,2173,3654,5455,6340,7603,12962,16355",19,9
top50,"473,1170,1278,14053,14077,14425",20,6
random50_1,"747,2195,6842,9137,10796,12962,14472,15797",14,8
random50_1,"834,2407,2796,6989,11187",15,5
random50_1,"418,4149,8550,9901,11572,12498,13794,16027",16,8
random50_1,"720,2087,8444,9989,15840",17,5
random50_1,"699,4597,5466,6577,10915,12132,12279,13219,16087",18,9
random50_1,"3471,5021,5186,7613,8699,12567,14055,14927,16111",19,9
random50_1,"3719,6412,8218,8274,9121,13655",20,6
random50_2,"7564,8621,8794,9157,9716,11692,11762,14793",14,8
random50_2,"737,2496,3713,6160,7128",15,5
random50_2,"3958,5015,5965,7951,8650,11370,12361,12721",16,8
random50_2,"59,3190,8301,8509,14057",17,5
random50_2,"196,1934,4578,6543,7027,8839,9358,11381,12673",18,9
random50_2,"1972,2306,2373,2894,3439,5085,6449,7858,10835",19,9
random50_2,"2677,7058,9435,11395,11896,15150",20,6
random50_3,"7938,8722,9290,10785,11603,11803,13218,13767",14,8
random50_3,"2683,4556,5669,12329,14318",15,5
random50_3,"3145,3285,6335,7152,9343,9585,11457,12210",16,8
random50_3,"536,3625,3947,10639,15526",17,5
random50_3,"1708,4963,6326,10067,11307,12725,14289,15252,15374",18,9
random50_3,"404,1246,3181,4605,5780,7366,10037,12264,14029",19,9
random50_3,"2722,3759,4412,6137,14911,15197",20,6
