class,n,bundle_delta_norm_mean,bundle_delta_norm_min,bundle_delta_norm_median,bundle_delta_norm_max,bundle_norm_frac_vs_all_sae_mean,bundle_norm_frac_vs_all_sae_min,bundle_norm_frac_vs_all_sae_median,bundle_norm_frac_vs_all_sae_max,bundle_norm_frac_vs_dense_mean,bundle_norm_frac_vs_dense_min,bundle_norm_frac_vs_dense_median,bundle_norm_frac_vs_dense_max,cos_bundle_dense_delta_mean,cos_bundle_dense_delta_min,cos_bundle_dense_delta_median,cos_bundle_dense_delta_max,cos_bundle_all_sae_delta_mean,cos_bundle_all_sae_delta_min,cos_bundle_all_sae_delta_median,cos_bundle_all_sae_delta_max,residual_norm_frac_vs_all_sae_mean,residual_norm_frac_vs_all_sae_min,residual_norm_frac_vs_all_sae_median,residual_norm_frac_vs_all_sae_max
swap_pass,6,18.918410619099934,18.47507667541504,18.976938247680664,19.134531021118164,0.4293012604274701,0.4192410167502313,0.43062938387427646,0.43420551812958624,0.45348969019594,0.4428626149715535,0.4548926450576017,0.4586702720180366,0.4496933963360776,0.4443818573137619,0.4493510455702455,0.4541399905895684,0.5326484829929693,0.5247926348982586,0.5324004677193608,0.5378971402587869,0.8526106435065114,0.8494960110850467,0.852600630930774,0.8577492878158754
swap_tie,161,18.85934621206722,18.18681526184082,18.835920333862305,20.006031036376953,0.427960956271055,0.41269971734239,0.42742937043953505,0.4539818123725831,0.4520738683181851,0.43595275442516923,0.451512330963721,0.47956083623522605,0.44987903483237673,0.4285303209924597,0.44965407603982244,0.4903638962797204,0.5319311564069722,0.5165765784295812,0.5310738918185848,0.571485470457156,0.8531125895724856,0.8289821478082977,0.8536110065850142,0.8625189672665815
swap_fail,286,17.98777201125672,13.41460132598877,18.714898109436035,20.022830963134766,0.40818297859114067,0.3044074564892268,0.42468310414201216,0.45436304047241816,0.43118152581298086,0.32155890481005517,0.4486113298084504,0.479963544144157,0.4169181883930054,0.25809390973903784,0.4431441142369469,0.4942469733225937,0.5140153615607027,0.3929215406953783,0.529951715237376,0.5734670809034131,0.8628121415618173,0.8281358110389773,0.8548470980136234,0.9236279965121611
random,200,15.7218767786026,11.87753963470459,15.017916202545166,20.27249526977539,0.3567647226414087,0.26952807181423283,0.34079027485732294,0.46002848476805897,0.3768661740764373,0.2847142858710424,0.3599916664883559,0.4859482006436377,0.30682781752671123,0.1358978583089742,0.2809878070429534,0.505077569422884,0.4455448239445665,0.3177814865210507,0.4228410997081518,0.58058220447422,0.8962518534446304,0.8245330150546145,0.9106854150560342,0.9493910175422924
