benign_gap_closed,benign_refusal_loss,full_layers,harmful_gap_closed,harmful_gap_closed_vs_pca64,harmful_refusal_loss,variant
1.0,0.33988131009615385,base,1.0,0.0,0.17623197115384615,base
0.0,3.0486778846153846,abliterated,0.0,0.0,2.8341346153846154,abliterated
0.9131851523176971,0.5750450721153846,,0.9186592052456052,0.0,0.39242788461538464,pca64
0.9674565648442157,0.4280348557692308,20+21+22+23+24,0.9522073370640439,0.4124391938846421,0.30326021634615385,pca64_plus_full_20+21+22+23+24
0.9542561599578475,0.4637920673076923,21+22+23+24,0.9511050816799503,0.3988881167477415,0.30618990384615385,pca64_plus_full_21+22+23+24
0.9591092499896005,0.45064603365384615,20+22+23+24,0.9456503306766153,0.3318276580959001,0.32068810096153844,pca64_plus_full_20+22+23+24
0.9458811131601935,0.48647836538461536,20+21+23+24,0.942710982985699,0.29569145239749844,0.32850060096153844,pca64_plus_full_20+21+23+24
0.9688986258822224,0.4241286057692308,20+21+22+24,0.947374371149172,0.35302293259207795,0.3161057692307692,pca64_plus_full_20+21+22+24
0.959552961078218,0.4494441105769231,20+21+22+23,0.9507941891357188,0.395066018068103,0.30701622596153844,pca64_plus_full_20+21+22+23
0.9613000734896491,0.44471153846153844,12+13+14+15+16+17+18+19+20+21+22+23+24,0.9358148210954723,0.21091035441278683,0.34682992788461536,full_12_24
