benign_gap_closed,benign_refusal_loss,full_layers,harmful_gap_closed,harmful_gap_closed_vs_pca64,harmful_refusal_loss,variant
1.0,0.33988131009615385,base,1.0,0.0,0.17623197115384615,base
0.0,3.0486778846153846,abliterated,0.0,0.0,2.8341346153846154,abliterated
0.9131851523176971,0.5750450721153846,,0.9186592052456052,0.0,0.39242788461538464,pca64
0.9310722555775871,0.5265925480769231,20,0.9184331015770731,-0.0027797081306461433,0.39302884615384615,pca64_plus_full_20
0.9257754544572167,0.5409405048076923,21,0.9326211067774575,0.1716469770674079,0.35531850961538464,pca64_plus_full_21
0.9276057626977634,0.5359825721153846,22,0.9289469221638121,0.12647671994440582,0.36508413461538464,pca64_plus_full_22
0.9067236095897058,0.5925480769230769,23,0.9239161155389747,0.06462821403752611,0.37845552884615385,pca64_plus_full_23
0.9278553501851107,0.5353064903846154,24,0.9300209145893393,0.13968033356497583,0.3622295673076923,pca64_plus_full_24
0.9340673054257547,0.5184795673076923,20+21,0.926855463229891,0.10076441973592777,0.37064302884615385,pca64_plus_full_20+21
0.9408338995271703,0.5001502403846154,22+23+24,0.9422870386072015,0.2904794996525365,0.32962740384615385,pca64_plus_full_22+23+24
0.9583327555845199,0.45274939903846156,20+21+22,0.9426261941099994,0.29464906184850587,0.32872596153846156,pca64_plus_full_20+21+22
0.9228081365520875,0.5489783653846154,23+24,0.9346560397942457,0.19666435024322448,0.3499098557692308,pca64_plus_full_23+24
0.9674565648442157,0.4280348557692308,20+21+22+23+24,0.9522073370640439,0.4124391938846421,0.30326021634615385,pca64_plus_full_20+21+22+23+24
0.9646556385973182,0.4356219951923077,17+18+19+20+21+22+23+24,0.9453111751738172,0.3276580958999305,0.3215895432692308,pca64_plus_full_17+18+19+20+21+22+23+24
0.9613000734896491,0.44471153846153844,12+13+14+15+16+17+18+19+20+21+22+23+24,0.9358148210954723,0.21091035441278683,0.34682992788461536,full_12_24
