basis_kind,effective_rank,explained_fraction,explained_sq,layer,n_rows,rank,residual_total_sq
centered_pca,32,0.9949091184985684,726.7301025390625,16,55,32,730.44873046875
raw_pca,32,0.9954927948126157,942.890625,16,55,32,947.15966796875
centered_pca,32,0.9942521640799759,1130.610595703125,17,55,32,1137.146728515625
raw_pca,32,0.9943636524157254,1336.371826171875,17,55,32,1343.94677734375
centered_pca,32,0.9943777807265902,1522.141845703125,18,55,32,1530.748046875
raw_pca,32,0.99463390825109,1834.3438720703125,18,55,32,1844.240234375
centered_pca,32,0.9953201098761219,2397.689208984375,19,55,32,2408.962890625
raw_pca,32,0.9950889050072145,2729.441650390625,19,55,32,2742.912353515625
centered_pca,32,0.9943617344725767,3024.54833984375,20,55,32,3041.6982421875
raw_pca,32,0.9950364994847974,3711.1064453125,20,55,32,3729.618408203125
centered_pca,32,0.9932666625332995,4709.091796875,21,55,32,4741.0146484375
raw_pca,32,0.9938479620349348,5800.2587890625,21,55,32,5836.1630859375
centered_pca,32,0.994807229874194,5830.796875,22,55,32,5861.23291015625
raw_pca,32,0.9946335919377639,6543.97802734375,22,55,32,6579.28515625
centered_pca,32,0.9966532625896943,6269.908203125,23,55,32,6290.96240234375
raw_pca,32,0.9963157782789063,7570.5244140625,23,55,32,7598.51904296875
