config,dict_size,explained_variance,hidden_size,l0,l1_coeff,layer,mean_abs_activation,mse,n_rows
d512_l1_0.001,512,0.9939507253351317,1536,103.10974884033203,0.001,16,0.02706998400390148,6.649503484368324e-05,164
d512_l1_0.001,512,0.997476625529177,1536,123.23170471191406,0.001,17,0.03832939267158508,4.4610958866542205e-05,164
d512_l1_0.001,512,0.9942837091304985,1536,135.7865753173828,0.001,18,0.045766960829496384,0.00013535084144677967,164
d512_l1_0.001,512,0.9979494186063202,1536,144.4451141357422,0.001,19,0.06197827309370041,7.816205470589921e-05,164
d512_l1_0.001,512,0.9895165630247835,1536,152.87803649902344,0.001,20,0.07272561639547348,0.0004977698554284871,164
d512_l1_0.001,512,0.997283128163005,1536,158.71340942382812,0.001,21,0.09420737624168396,0.00020078648230992258,164
d512_l1_0.001,512,0.9727733361486308,1536,181.6585235595703,0.001,22,0.10836097598075867,0.0024945219047367573,164
d512_l1_0.001,512,0.9990438819096187,1536,171.09146118164062,0.001,23,0.10637341439723969,8.865703421179205e-05,164
d1024_l1_0.001,1024,0.9941659705053538,1536,211.8719482421875,0.001,16,0.018467579036951065,6.412900984287262e-05,164
d1024_l1_0.001,1024,0.9992517826587902,1536,234.1585235595703,0.001,17,0.024083014577627182,1.3227800081949681e-05,164
d1024_l1_0.001,1024,0.9982504669206496,1536,255.1890106201172,0.001,18,0.02890317142009735,4.142559919273481e-05,164
d1024_l1_0.001,1024,0.9913242550791833,1536,301.56097412109375,0.001,19,0.041432712227106094,0.0003306935541331768,164
d1024_l1_0.001,1024,0.9974907137971264,1536,300.5914611816406,0.001,20,0.04694059118628502,0.00011914480273844674,164
d1024_l1_0.001,1024,0.987501151652906,1536,338.8170471191406,0.001,21,0.06230754032731056,0.0009237093036063015,164
d1024_l1_0.001,1024,0.9985203451352298,1536,359.04876708984375,0.001,22,0.06955265998840332,0.00013556679186876863,164
d1024_l1_0.001,1024,0.9981294194205553,1536,367.6219482421875,0.001,23,0.07200153172016144,0.000173451509908773,164
