benign_clean_generation_rate,benign_ok_rate,benign_over_refusal_rate,harmful_attempted_refusal_rate,harmful_bad_attempt_rate,harmful_clean_generation_rate,harmful_ok_rate,harmful_unsafe_continuation_rate,model,n
1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,pca64,7
1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,residual_topk1344_16-23,7
1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,full_16-23,7
1.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.3333333333333333,residual_sae_d1536_l1_0.0001_16-23,7
1.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666,residual_sae_d2048_l1_0.0001_16-23,7
