condition,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
bundle_patch_critical12_plus_rank004_rank010,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank004_rank011,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank004_rank011,-0.046875,-0.046875,-0.046875,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank004_rank012,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank004_rank012,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank004_rank013,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank004_rank013,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank004_rank015,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank004_rank015,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank004_rank017,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank004_rank017,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank004_rank018,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank004_rank018,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank004_rank019,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank004_rank019,-0.046875,-0.046875,-0.046875,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank004_rank021,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank004_rank021,-0.0625,-0.0625,-0.0625,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank004_rank022,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank004_rank022,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank004_rank023,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank004_rank023,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank004_rank026,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank004_rank026,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank004_rank029,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank004_rank029,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank004_rank030,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank004_rank030,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank004_rank031,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank004_rank031,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank004_rank032,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank004_rank032,-0.03125,-0.03125,-0.03125,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank005,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank005,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank005_rank006,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank005_rank006,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank005_rank008,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank005_rank008,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank005_rank010,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank005_rank010,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank005_rank011,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank005_rank011,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank005_rank012,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank005_rank012,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank005_rank013,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank005_rank013,0.0,0.0,0.0,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank005_rank015,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank005_rank015,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank005_rank017,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank005_rank017,-0.015625,-0.015625,-0.015625,1,harmful,0.0,1.0
bundle_patch_critical12_plus_rank005_rank018,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_critical12_plus_rank005_rank018,0.0,0.0,0.0,1,harmful,0.0,1.0
