hidden_size,intermediate_size,model,model_type,num_attention_heads,num_hidden_layers,num_key_value_heads,short,sliding_window,vocab_size
2304,9216,google/gemma-2-2b-it,gemma2,8,26,4,base,4096,256000
2304,9216,IlyaGusev/gemma-2-2b-it-abliterated,gemma2,8,26,4,abliterated,4096,256000
