abs_pearson,abs_spearman,n,pearson,predictor,spearman,target
0.9993182105803261,0.9999278030467116,55,-0.9993182105803261,patch_gain_all,-0.9999278030467116,retention_frac_expert
0.9990162153787429,0.9998556060934229,55,-0.9990162153787429,patch_gain_all,-0.9998556060934229,target_acc
0.9807355106256501,0.9823864969198113,55,-0.9807355106256501,patch_gain_fc1,-0.9823864969198113,retention_frac_expert
0.9773274256613184,0.9823143103890656,55,-0.9773274256613184,patch_gain_fc1,-0.9823143103890656,target_acc
0.9391859429949654,0.9771714347570172,55,0.9391859429949654,act_rowcos_logits,0.9771714347570172,retention_frac_expert
0.9311008912649772,0.9765217677028093,55,0.9311008912649772,act_rowcos_logits,0.9765217677028093,target_acc
0.9074516388171023,0.9366755217113878,55,0.9074516388171023,act_rowcos_conv2,0.9366755217113878,retention_frac_expert
0.9059188110322831,0.9362424103419157,55,0.9059188110322831,act_rowcos_conv2,0.9362424103419157,target_acc
0.7711451420619093,0.8292066786771896,55,0.7711451420619093,act_rowcos_fc1,0.8292066786771896,retention_frac_expert
0.7626167065593983,0.8271132692855608,55,0.7626167065593983,act_rowcos_fc1,0.8271132692855608,target_acc
0.8336589861168923,0.8060778995799498,55,0.8336589861168923,act_cka_logits,0.8060778995799498,retention_frac_expert
0.8269442548768409,0.8057169799508731,55,0.8269442548768409,act_cka_logits,0.8057169799508731,target_acc
0.6843629644035379,0.7955103405799366,55,0.6843629644035379,act_cka_fc1,0.7955103405799366,target_acc
0.6884040491835046,0.7952937966164361,55,0.6884040491835046,act_cka_fc1,0.7952937966164361,retention_frac_expert
0.7900457969963878,0.7321420407203064,50,0.7900457969963878,weight_cos_conv1,0.7321420407203064,retention_frac_expert
0.781911876205484,0.7321420407203064,50,0.781911876205484,weight_cos_conv1,0.7321420407203064,target_acc
0.696862098076347,0.6108826017723442,55,0.696862098076347,patch_gain_conv2,0.6108826017723442,target_gain_vs_base
0.417299647746802,0.5843799761668784,55,0.417299647746802,act_cka_conv2,0.5843799761668784,target_acc
0.41093224052253835,0.5834416189917093,55,0.41093224052253835,act_cka_conv2,0.5834416189917093,retention_frac_expert
0.48030799355796644,0.5691394494076812,55,0.48030799355796644,act_rowcos_conv1,0.5691394494076812,retention_frac_expert
0.6444312641036984,0.5690102689418094,55,0.6444312641036984,patch_gain_conv1,0.5690102689418094,target_gain_vs_base
0.4779437649500761,0.5676958490287145,55,0.4779437649500761,act_rowcos_conv1,0.5676958490287145,target_acc
0.43213776511631347,0.5258806092926476,55,0.43213776511631347,sign_agree_conv1,0.5258806092926476,target_acc
0.4387268353862084,0.5239307635839272,55,0.4387268353862084,sign_agree_conv1,0.5239307635839272,retention_frac_expert
0.2853279729009003,0.512794608992206,55,0.2853279729009003,act_cka_conv1,0.512794608992206,retention_frac_expert
0.30583318357711187,0.5117118501049758,55,0.30583318357711187,act_cka_conv1,0.5117118501049758,target_acc
0.6463896464572501,0.47995119128211317,55,-0.6463896464572501,act_cka_conv2,-0.47995119128211317,target_gain_vs_base
0.37783918828108426,0.4338387689250641,55,0.37783918828108426,patch_gain_fc2,0.4338387689250641,target_gain_vs_base
0.3779785302912845,0.42007928750034274,50,0.3779785302912845,weight_cos_fc2,0.42007928750034274,retention_frac_expert
0.37658253081152643,0.42007928750034274,50,0.37658253081152643,weight_cos_fc2,0.42007928750034274,target_acc
0.261714873544229,0.40664874103012105,55,-0.261714873544229,patch_gain_fc2,-0.40664874103012105,retention_frac_expert
0.2736924800313271,0.40527712269538424,55,-0.2736924800313271,patch_gain_fc2,-0.40527712269538424,target_acc
0.7262945203572451,0.40143083588851886,55,-0.7262945203572451,act_cka_conv1,-0.40143083588851886,target_gain_vs_base
0.3442183065804264,0.36542712311205716,50,0.3442183065804264,weight_cos_conv2,0.36542712311205716,retention_frac_expert
0.3519435592574451,0.36542712311205716,50,0.3519435592574451,weight_cos_conv2,0.36542712311205716,target_acc
0.3175932814834539,0.34734258469607837,55,0.3175932814834539,weight_norm_ratio_all,0.34734258469607837,target_acc
0.32882459153915794,0.3438763801086746,55,0.32882459153915794,weight_norm_ratio_all,0.3438763801086746,retention_frac_expert
0.31166263215135653,0.3422946292724949,55,0.31166263215135653,weight_norm_ratio_fc2,0.3422946292724949,target_gain_vs_base
0.28682094827341964,0.3328695830544623,55,0.28682094827341964,sign_agree_conv1,0.3328695830544623,target_gain_vs_base
0.2967331909141051,0.31832048921026634,55,0.2967331909141051,weight_norm_ratio_fc1,0.31832048921026634,target_acc
0.3084460686670645,0.3148545975278137,55,0.3084460686670645,weight_norm_ratio_fc1,0.3148545975278137,retention_frac_expert
0.3404853636253974,0.3090699090434959,55,0.3404853636253974,weight_norm_ratio_conv2,0.3090699090434959,target_acc
0.3468038437888442,0.30567591705166314,55,0.3468038437888442,weight_norm_ratio_conv2,0.30567591705166314,retention_frac_expert
0.1920235798872347,0.29169763007345195,55,-0.1920235798872347,weight_norm_ratio_conv1,-0.29169763007345195,target_gain_vs_base
0.2520484832830781,0.25526701780671285,50,0.2520484832830781,weight_cos_all,0.25526701780671285,retention_frac_expert
0.2567552513932622,0.25526701780671285,50,0.2567552513932622,weight_cos_all,0.25526701780671285,target_acc
0.22941514644782096,0.2357788834196082,55,0.22941514644782096,sign_agree_conv2,0.2357788834196082,target_gain_vs_base
0.23288922111295177,0.22963106257525218,50,0.23288922111295177,weight_cos_fc1,0.22963106257525218,retention_frac_expert
0.23736510597386057,0.22963106257525218,50,0.23736510597386057,weight_cos_fc1,0.22963106257525218,target_acc
0.2711651662222124,0.22015908884309934,55,0.2711651662222124,act_rowcos_fc1,0.22015908884309934,target_gain_vs_base
0.22629058437228747,0.21554813712596763,55,0.22629058437228747,sign_agree_fc2,0.21554813712596763,target_gain_vs_base
0.23457991350422702,0.20827616571845525,55,0.23457991350422702,sign_agree_all,0.20827616571845525,target_gain_vs_base
0.2345664733648513,0.20719195871315355,55,0.2345664733648513,sign_agree_fc1,0.20719195871315355,target_gain_vs_base
0.1271013701932514,0.20551604648603092,55,0.1271013701932514,weight_norm_ratio_fc2,0.20551604648603092,target_acc
0.1380150934245116,0.20219486674306325,55,0.1380150934245116,weight_norm_ratio_fc2,0.20219486674306325,retention_frac_expert
0.3561631203457306,0.1866195886017911,55,-0.3561631203457306,act_cka_fc1,-0.1866195886017911,target_gain_vs_base
0.14901243374148546,0.17846892615875715,55,-0.14901243374148546,patch_gain_conv1,-0.17846892615875715,retention_frac_expert
0.16927331447124785,0.178180112280074,55,-0.16927331447124785,patch_gain_conv1,-0.178180112280074,target_acc
0.1326713779484373,0.15988446078496432,55,0.1326713779484373,sign_agree_fc2,0.15988446078496432,target_acc
0.13502855424582885,0.158223511102013,55,0.13502855424582885,sign_agree_fc2,0.158223511102013,retention_frac_expert
0.109638003989831,0.14781918313365328,55,0.109638003989831,sign_agree_conv2,0.14781918313365328,target_acc
0.07581719211009975,0.14704133508038605,55,0.07581719211009975,weight_norm_ratio_fc1,0.14704133508038605,target_gain_vs_base
0.10923741808699204,0.14623050603109328,55,0.10923741808699204,sign_agree_conv2,0.14623050603109328,retention_frac_expert
0.003465701283353502,0.13510137656995855,50,-0.003465701283353502,weight_cos_conv2,0.13510137656995855,target_gain_vs_base
0.13045211503401646,0.1339770455723991,50,0.13045211503401646,weight_cos_conv1,0.1339770455723991,target_gain_vs_base
0.0985362322563551,0.13196851840583848,55,0.0985362322563551,sign_agree_all,0.13196851840583848,target_acc
0.0995787049548372,0.13037984130327848,55,0.0995787049548372,sign_agree_all,0.13037984130327848,retention_frac_expert
0.09764489093578538,0.12965771534756937,55,0.09764489093578538,sign_agree_fc1,0.12965771534756937,target_acc
0.0987370923115412,0.12806903824500931,55,0.0987370923115412,sign_agree_fc1,0.12806903824500931,retention_frac_expert
0.3252762053781385,0.12383283166172908,55,-0.3252762053781385,act_rowcos_conv1,-0.12383283166172908,target_gain_vs_base
0.03455325500469016,0.1185626490451302,50,0.03455325500469016,weight_cos_fc1,0.1185626490451302,target_gain_vs_base
0.15233554682408834,0.11658839330344208,55,-0.15233554682408834,weight_norm_ratio_conv2,-0.11658839330344208,target_gain_vs_base
0.04738162249630929,0.10675824978870671,55,0.04738162249630929,weight_norm_ratio_all,0.10675824978870671,target_gain_vs_base
0.030400832525410926,0.09546688582381677,50,0.030400832525410926,weight_cos_all,0.09546688582381677,target_gain_vs_base
0.17085940373246286,0.09450531557634677,55,-0.17085940373246286,act_cka_logits,-0.09450531557634677,target_gain_vs_base
0.07974274117586219,0.08332581253230065,55,-0.07974274117586219,weight_norm_ratio_conv1,-0.08332581253230065,retention_frac_expert
0.07432715356943374,0.08014874515671899,55,-0.07432715356943374,weight_norm_ratio_conv1,-0.08014874515671899,target_acc
0.23466198430351531,0.07858071057150152,55,-0.23466198430351531,patch_gain_conv2,-0.07858071057150152,retention_frac_expert
0.2554536742495088,0.0784363270885957,55,-0.2554536742495088,patch_gain_conv2,-0.0784363270885957,target_acc
0.11118328711650226,0.06211120854636285,50,-0.11118328711650226,weight_cos_fc2,-0.06211120854636285,target_gain_vs_base
0.006052031346059781,0.04913209030124925,55,0.006052031346059781,act_rowcos_logits,0.04913209030124925,target_gain_vs_base
0.17945291298373614,0.04617721361290558,55,0.17945291298373614,patch_gain_all,-0.04617721361290558,target_gain_vs_base
0.07617958206677786,0.03410406627303672,55,0.07617958206677786,patch_gain_fc1,-0.03410406627303672,target_gain_vs_base
0.07018252748062187,0.025216322816376455,55,-0.07018252748062187,act_rowcos_conv2,0.025216322816376455,target_gain_vs_base
