act_cka_conv1,act_cka_conv2,act_cka_fc1,act_cka_logits,act_rowcos_conv1,act_rowcos_conv2,act_rowcos_fc1,act_rowcos_logits,base_acc,eval_domain,expert,expert_acc,patch_gain_all,patch_gain_conv1,patch_gain_conv2,patch_gain_fc1,patch_gain_fc2,retention_frac_expert,sign_agree_all,sign_agree_conv1,sign_agree_conv2,sign_agree_fc1,sign_agree_fc2,target_acc,target_gain_vs_base,target_model,weight_cos_all,weight_cos_conv1,weight_cos_conv2,weight_cos_fc1,weight_cos_fc2,weight_norm_ratio_all,weight_norm_ratio_conv1,weight_norm_ratio_conv2,weight_norm_ratio_fc1,weight_norm_ratio_fc2
0.9999056458473206,0.9947361946105957,0.9789708852767944,0.9766582250595093,0.9985358119010925,0.9677361845970154,0.9794488549232483,0.9549872279167175,0.9593333333333334,clean,clean,0.973,0.013666666666666605,0.0020000000000000018,0.003666666666666596,0.006666666666666599,0.0033333333333332993,0.985954093867763,0.0,0.0,0.0,0.0,0.0,0.9593333333333334,0.0,base,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
0.9983035922050476,0.9506389498710632,0.5354225039482117,0.4269932806491852,0.9975724816322327,0.855851948261261,0.8983336091041565,0.42047905921936035,0.1253333333333333,invert,invert,0.9426666666666668,0.8173333333333334,0.012666666666666715,0.18800000000000006,0.4770000000000001,-0.002999999999999961,0.1329561527581329,0.0,0.0,0.0,0.0,0.0,0.1253333333333333,0.0,base,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
0.9999392032623291,0.99643874168396,0.8508554697036743,0.7050974369049072,0.9994311332702637,0.8173711895942688,0.5502078533172607,0.10278034955263138,0.0046666666666666,labelperm_task,labelperm,0.8946666666666667,0.8900000000000001,0.00033333333333339984,0.0013333333333333999,0.7020000000000001,0.012666666666666732,0.005216095380029732,0.0,0.0,0.0,0.0,0.0,0.0046666666666666,0.0,base,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
0.9976091384887695,0.9898179769515991,0.9644231200218201,0.9545571804046631,0.9985015988349915,0.9376053810119629,0.948121964931488,0.8294042944908142,0.4196666666666667,noise,noise,0.918,0.49833333333333335,0.04833333333333334,0.3436666666666666,0.298,0.05733333333333329,0.45715323166303556,0.0,0.0,0.0,0.0,0.0,0.4196666666666667,0.0,base,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
0.9999264478683472,0.991300642490387,0.9025638103485107,0.8861879706382751,0.9989182353019714,0.9525389075279236,0.9594459533691406,0.886052668094635,0.8126666666666666,rotate25,rotate25,0.9573333333333334,0.14466666666666672,0.0076666666666667105,0.05500000000000005,0.11399999999999999,0.016000000000000014,0.8488857938718662,0.0,0.0,0.0,0.0,0.0,0.8126666666666666,0.0,base,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
0.9999192953109741,0.9991213083267212,0.9856373071670532,0.9823660850524902,0.9988450407981873,0.9880741238594055,0.9840627312660217,0.965419590473175,0.9593333333333334,clean,clean,0.973,0.008333333333333193,-1.1102230246251565e-16,0.0023333333333331874,0.005666666666666598,-0.0006666666666668153,0.9914354230900995,0.45160111784935,0.4312500059604645,0.4197664260864258,0.45307520031929016,0.4542635679244995,0.9646666666666668,0.005333333333333412,good_dare_drop80,0.30145611915724785,0.3997701066925658,0.29885956419242043,0.3014447267935834,0.39055449608723714,1.4253824943749307,1.2046351561091608,1.6032033675743105,1.4032857101681322,0.9980371510550473
0.9984917044639587,0.9674585461616516,0.7119884490966797,0.6664559245109558,0.997319221496582,0.9123309254646301,0.9350617527961731,0.6140750646591187,0.1253333333333333,invert,invert,0.9426666666666668,0.6723333333333333,0.026000000000000023,0.387,0.515,0.027333333333333376,0.2867751060820367,0.4419839680194855,0.328125,0.38975995779037476,0.44451308250427246,0.43178293108940125,0.2703333333333333,0.14500000000000002,good_dare_drop80,0.3001873462152366,0.19732291603835292,0.31683697200047606,0.29928723311327055,0.19594679614238666,0.9056436933604469,0.9915261977180835,0.7206257789285947,0.9527053133209543,1.4634312606347555
0.9998266100883484,0.9943601489067078,0.8282663226127625,0.6781981587409973,0.9984219074249268,0.8465957641601562,0.5229260325431824,0.1041049137711525,0.0046666666666666,labelperm_task,labelperm,0.8946666666666667,0.8916666666666667,0.0003333333333333335,0.0006666666666666665,0.736,0.009999999999999998,0.003353204172876304,0.3602178990840912,0.234375,0.34191176295280457,0.3613324761390686,0.3069767355918884,0.003,-0.0016666666666666002,good_dare_drop80,-0.011367167382508078,-0.21248622611842996,0.08287600877780499,-0.018666911055148748,-0.06756028815114734,0.5373443515129582,1.52462052773391,1.0716196488023655,0.505842717474482,0.3086420858820725
0.9984594583511353,0.9868150949478149,0.9597981572151184,0.9557724595069885,0.998678982257843,0.9453971982002258,0.9539602398872375,0.8626818656921387,0.4196666666666667,noise,noise,0.918,0.3556666666666667,0.03400000000000003,0.2683333333333333,0.19366666666666665,0.03833333333333333,0.6125635439360929,0.4415404498577118,0.42500001192092896,0.3910575211048126,0.4438381493091583,0.4542635679244995,0.5623333333333334,0.14266666666666666,good_dare_drop80,0.19844974799612267,0.3649424764483202,0.15505122008807795,0.20480440102318517,0.35997140285919677,1.8304651780762335,0.9934498867518854,1.7378511840392512,1.860611861720404,1.520994593953407
0.9999457001686096,0.9959881901741028,0.9420538544654846,0.9315877556800842,0.9990906119346619,0.9778891205787659,0.9714838862419128,0.9225812554359436,0.8126666666666666,rotate25,rotate25,0.9573333333333334,0.08800000000000008,0.004333333333333411,0.03966666666666674,0.06966666666666665,0.006333333333333413,0.9080779944289693,0.44735580682754517,0.453125,0.41208910942077637,0.44901329278945923,0.43565890192985535,0.8693333333333333,0.05666666666666664,good_dare_drop80,0.3154387489131989,0.38752171640894956,0.272397160789775,0.3228951285281833,0.3489395299020005,0.9907004821349924,1.2958403622532044,1.4722356834697405,0.9470132844308045,0.8447921335700641
0.9999195337295532,0.9991152882575989,0.9857182502746582,0.982517421245575,0.9988932609558105,0.9873283505439758,0.9835577607154846,0.9639849066734314,0.9593333333333334,clean,clean,0.973,0.0086666666666666,-0.0006666666666667043,0.0023333333333332984,0.0043333333333333,-0.0016666666666667052,0.9910928400137033,0.20591875910758972,0.34062498807907104,0.26989617943763733,0.2028261423110962,0.21782945096492767,0.9643333333333334,0.0050000000000000044,good_della_like,0.25859609811660367,0.4422284725678243,0.2826165415809051,0.2542536800462097,0.35655192463325525,1.6661475451262793,1.263767505847177,1.7147728252327554,1.6636178630037242,1.1726460840428188
0.9983498454093933,0.9678882956504822,0.7123806476593018,0.6651071310043335,0.9969097971916199,0.9136856198310852,0.9352086186408997,0.6153667569160461,0.1253333333333333,invert,invert,0.9426666666666668,0.6816666666666666,0.03899999999999998,0.387,0.525,0.033999999999999975,0.27687411598302686,0.1982606053352356,0.2562499940395355,0.2629757821559906,0.19522035121917725,0.20232558250427246,0.261,0.1356666666666667,good_della_like,0.2556885742948222,0.22225856638288985,0.29990643725225363,0.2501963068372035,0.15507678520711407,1.058618316421316,1.0401975930368483,0.7707752664832552,1.1294475287070393,1.7194619811848464
0.9998145699501038,0.9944745898246765,0.831098735332489,0.6832576394081116,0.9981706738471985,0.8445141911506653,0.5229803919792175,0.10850707441568375,0.0046666666666666,labelperm_task,labelperm,0.8946666666666667,0.8913333333333334,3.3393426912553537e-17,0.00033333333333336644,0.7313333333333334,0.011000000000000034,0.003725782414306967,0.157806858420372,0.14374999701976776,0.2202097773551941,0.15501224994659424,0.13643410801887512,0.0033333333333333,-0.0013333333333333001,good_della_like,-0.009784078422985136,-0.22897929383445675,0.07464930790675255,-0.015553626801828965,-0.061765732167482726,0.6281085783598032,1.5994601119901994,1.1461953548239356,0.5996847075141013,0.3626397404122858
0.9985357522964478,0.9869077801704407,0.9600105881690979,0.9561746120452881,0.9986985325813293,0.9416193962097168,0.9546418190002441,0.8701398372650146,0.4196666666666667,noise,noise,0.918,0.3453333333333334,0.03866666666666663,0.272,0.17166666666666663,0.04400000000000004,0.6238198983297022,0.1972218155860901,0.3375000059604645,0.24578286707401276,0.19482436776161194,0.2124031037092209,0.5726666666666667,0.15299999999999997,good_della_like,0.17141017835827818,0.4011123323678949,0.13909837974393008,0.17514628107107091,0.3192244665154639,2.1396537946316547,1.0422157108710692,1.8587909961778124,2.205785398401738,1.7870961542506598
0.9999475479125977,0.9954402446746826,0.9404907822608948,0.9297888875007629,0.999136209487915,0.9758934378623962,0.9702640175819397,0.9190189838409424,0.8126666666666666,rotate25,rotate25,0.9573333333333334,0.09533333333333338,0.002666666666666706,0.04366666666666663,0.07466666666666666,0.008333333333333304,0.9004178272980501,0.20514559745788574,0.3375000059604645,0.2677876353263855,0.20214875042438507,0.2069767415523529,0.862,0.04933333333333334,good_della_like,0.2710086480282159,0.4157571101784436,0.2556781868566845,0.27337280367193273,0.30335417299272743,1.1580422677973854,1.3594497340341904,1.574690892878796,1.1226995365698915,0.9925904924620126
0.999981164932251,0.9990605711936951,0.9858288764953613,0.9828093647956848,0.9996861815452576,0.990283191204071,0.9848025441169739,0.9651715755462646,0.9593333333333334,clean,clean,0.973,0.009333333333333194,-1.1102230246251565e-16,0.0033333333333331883,0.006333333333333191,-1.1102230246251565e-16,0.9904076738609114,0.7916976809501648,0.8187500238418579,0.7403222322463989,0.7939387559890747,0.8240309953689575,0.9636666666666668,0.004333333333333411,good_linear_taskavg,0.6124315926485363,0.8445470365244722,0.6591766468257734,0.6040559844540462,0.738626613471331,0.7020766552565142,0.7184795521850512,0.7655376773079672,0.6936394027350624,0.5779742026213707
0.9985978603363037,0.9686796069145203,0.7120183706283569,0.6737279295921326,0.997577965259552,0.9150986671447754,0.9374332427978516,0.6185809969902039,0.1253333333333333,invert,invert,0.9426666666666668,0.677,0.03966666666666674,0.385,0.544,0.036666666666666736,0.28182461103253176,0.7670132517814636,0.5718749761581421,0.7771409749984741,0.7667655944824219,0.7472867965698242,0.2656666666666666,0.1403333333333333,good_linear_taskavg,0.6080862036303338,0.4554656397972162,0.6407429047412224,0.6078884922631944,0.3902981885206365,0.4460776651866264,0.5913751519731342,0.34410243651366995,0.4709190293367205,0.8474890088634666
0.9998682737350464,0.9941335320472717,0.8264905214309692,0.6778345108032227,0.9984652996063232,0.845714271068573,0.5211679339408875,0.09897630661725998,0.0046666666666666,labelperm_task,labelperm,0.8946666666666667,0.8916666666666667,0.0,0.0003333333333333335,0.7366666666666667,0.009999999999999998,0.003353204172876304,0.6061255931854248,0.28437501192092896,0.5985077619552612,0.6069816946983337,0.5286821722984314,0.003,-0.0016666666666666002,good_linear_taskavg,-0.020886448007142594,-0.37595897085208424,0.15974528876289468,-0.03415228159509198,-0.1446902817709864,0.26467065964398273,0.909328163355655,0.5117037760112598,0.2500363524580047,0.1787379991761934
0.9984747767448425,0.9880439639091492,0.960606038570404,0.9556012153625488,0.9990713000297546,0.9476088881492615,0.956030547618866,0.8694711327552795,0.4196666666666667,noise,noise,0.918,0.3373333333333334,0.03533333333333333,0.251,0.20399999999999996,0.042333333333333334,0.6325344952795933,0.7298418879508972,0.796875,0.6099156737327576,0.7350374460220337,0.8155038952827454,0.5806666666666667,0.16099999999999998,good_linear_taskavg,0.40588698070685447,0.6485046589172657,0.36470132095791424,0.41031465598963895,0.6771433693789232,0.9016014121534761,0.592522496236283,0.8298326873834013,0.919694179976281,0.8808245631961938
0.9999839663505554,0.9963594079017639,0.9431774616241455,0.9340559244155884,0.9995939135551453,0.981069028377533,0.9720417857170105,0.9224491715431213,0.8126666666666666,rotate25,rotate25,0.9573333333333334,0.08633333333333337,0.005333333333333301,0.039000000000000035,0.07033333333333336,0.007333333333333303,0.9098189415041782,0.8019504547119141,0.753125011920929,0.7054498195648193,0.806403398513794,0.8116279244422913,0.871,0.05833333333333335,good_linear_taskavg,0.6413597847638695,0.741864638980454,0.5886776671692893,0.6516824777482271,0.7302940166854246,0.48797265548246277,0.7728769980299569,0.7029999489575626,0.4681054786170732,0.4892283411141611
0.999981164932251,0.9990605115890503,0.9858288764953613,0.9828093647956848,0.9996862411499023,0.990283191204071,0.9848025441169739,0.9651715755462646,0.9593333333333334,clean,clean,0.973,0.009333333333333194,-1.1102230246251565e-16,0.0033333333333331883,0.006333333333333191,-1.1102230246251565e-16,0.9904076738609114,0.7916976809501648,0.8187500238418579,0.7403222322463989,0.7939387559890747,0.8240309953689575,0.9636666666666668,0.004333333333333411,good_soup,0.6124316395125184,0.8445469823939167,0.6591766468257734,0.6040559844540462,0.7386265652784806,0.7020766552565142,0.7184795033037868,0.7655376773079672,0.6936394027350624,0.5779742403322053
0.9985978603363037,0.9686794877052307,0.7120183706283569,0.6737279295921326,0.997577965259552,0.9150986671447754,0.9374332427978516,0.6185809969902039,0.1253333333333333,invert,invert,0.9426666666666668,0.677,0.03966666666666674,0.385,0.544,0.036666666666666736,0.28182461103253176,0.7670132517814636,0.5718749761581421,0.7771409749984741,0.7667655944824219,0.7472867965698242,0.2656666666666666,0.1403333333333333,good_soup,0.6080862036303338,0.45546562486058256,0.6407429047412224,0.6078884555438676,0.39029819331992566,0.4460776651866264,0.5913751117393307,0.34410243651366995,0.4709190293367205,0.8474890641592181
0.9998682737350464,0.9941335320472717,0.8264904022216797,0.6778345108032227,0.9984652400016785,0.845714271068573,0.5211679339408875,0.09897630661725998,0.0046666666666666,labelperm_task,labelperm,0.8946666666666667,0.8916666666666667,0.0,0.0003333333333333335,0.7366666666666667,0.009999999999999998,0.003353204172876304,0.6061255931854248,0.28437501192092896,0.5985077619552612,0.6069816946983337,0.5286821722984314,0.003,-0.0016666666666666002,good_soup,-0.020886445798779563,-0.3759589611227265,0.1597452729959658,-0.03415227672102342,-0.1446902978622836,0.26467065964398273,0.9093281014901362,0.5117037760112598,0.2500363524580047,0.1787380108382349
0.9984747767448425,0.9880440831184387,0.960606038570404,0.9556012153625488,0.9990713596343994,0.9476088881492615,0.956030547618866,0.8694711327552795,0.4196666666666667,noise,noise,0.918,0.3373333333333334,0.03533333333333333,0.251,0.20399999999999996,0.042333333333333334,0.6325344952795933,0.7298418879508972,0.796875,0.6099156737327576,0.7350374460220337,0.8155038952827454,0.5806666666666667,0.16099999999999998,good_soup,0.40588698070685447,0.648504703037839,0.36470132095791424,0.41031465598963895,0.6771433251976433,0.9016014121534761,0.5925224559244208,0.8298326873834013,0.919694179976281,0.880824620666976
