donor_acc,donor_expert,eval_domain,module,patch_gain_vs_target,patch_gap_closed_vs_donor,patched_acc,target_acc,target_model
0.973,clean,clean,all,0.013666666666666605,1.0,0.973,0.9593333333333334,base
0.973,clean,clean,conv1,0.0020000000000000018,0.14634146341463494,0.9613333333333334,0.9593333333333334,base
0.973,clean,clean,conv2,0.003666666666666596,0.2682926829268253,0.963,0.9593333333333334,base
0.973,clean,clean,fc1,0.006666666666666599,0.4878048780487777,0.966,0.9593333333333334,base
0.973,clean,clean,fc2,0.0033333333333332993,0.24390243902438885,0.9626666666666667,0.9593333333333334,base
0.9426666666666668,invert,invert,all,0.8173333333333334,0.9999999999999999,0.9426666666666667,0.1253333333333333,base
0.9426666666666668,invert,invert,conv1,0.012666666666666715,0.015497553017944591,0.138,0.1253333333333333,base
0.9426666666666668,invert,invert,conv2,0.18800000000000006,0.23001631321370314,0.31333333333333335,0.1253333333333333,base
0.9426666666666668,invert,invert,fc1,0.4770000000000001,0.583605220228385,0.6023333333333334,0.1253333333333333,base
0.9426666666666668,invert,invert,fc2,-0.002999999999999961,-0.0036704730831973414,0.12233333333333334,0.1253333333333333,base
0.8946666666666667,labelperm,labelperm_task,all,0.8900000000000001,1.0,0.8946666666666667,0.0046666666666666,base
0.8946666666666667,labelperm,labelperm_task,conv1,0.00033333333333339984,0.00037453183520606717,0.005,0.0046666666666666,base
0.8946666666666667,labelperm,labelperm_task,conv2,0.0013333333333333999,0.0014981273408240445,0.006,0.0046666666666666,base
0.8946666666666667,labelperm,labelperm_task,fc1,0.7020000000000001,0.7887640449438202,0.7066666666666667,0.0046666666666666,base
0.8946666666666667,labelperm,labelperm_task,fc2,0.012666666666666732,0.014232209737827788,0.017333333333333333,0.0046666666666666,base
0.918,noise,noise,all,0.49833333333333335,1.0,0.918,0.4196666666666667,base
0.918,noise,noise,conv1,0.04833333333333334,0.09698996655518395,0.468,0.4196666666666667,base
0.918,noise,noise,conv2,0.3436666666666666,0.6896321070234113,0.7633333333333333,0.4196666666666667,base
0.918,noise,noise,fc1,0.298,0.5979933110367892,0.7176666666666667,0.4196666666666667,base
0.918,noise,noise,fc2,0.05733333333333329,0.11505016722408018,0.477,0.4196666666666667,base
0.9573333333333334,rotate25,rotate25,all,0.14466666666666672,1.0,0.9573333333333334,0.8126666666666666,base
0.9573333333333334,rotate25,rotate25,conv1,0.0076666666666667105,0.05299539170506941,0.8203333333333334,0.8126666666666666,base
0.9573333333333334,rotate25,rotate25,conv2,0.05500000000000005,0.3801843317972352,0.8676666666666667,0.8126666666666666,base
0.9573333333333334,rotate25,rotate25,fc1,0.11399999999999999,0.7880184331797231,0.9266666666666666,0.8126666666666666,base
0.9573333333333334,rotate25,rotate25,fc2,0.016000000000000014,0.11059907834101389,0.8286666666666667,0.8126666666666666,base
0.973,clean,clean,all,0.008333333333333193,1.0,0.973,0.9646666666666668,good_dare_drop80
0.973,clean,clean,conv1,-1.1102230246251565e-16,-1.3322676295502104e-14,0.9646666666666667,0.9646666666666668,good_dare_drop80
0.973,clean,clean,conv2,0.0023333333333331874,0.2799999999999872,0.967,0.9646666666666668,good_dare_drop80
0.973,clean,clean,fc1,0.005666666666666598,0.6800000000000032,0.9703333333333334,0.9646666666666668,good_dare_drop80
0.973,clean,clean,fc2,-0.0006666666666668153,-0.08000000000001918,0.964,0.9646666666666668,good_dare_drop80
0.9426666666666668,invert,invert,all,0.6723333333333333,0.9999999999999999,0.9426666666666667,0.2703333333333333,good_dare_drop80
0.9426666666666668,invert,invert,conv1,0.026000000000000023,0.0386712940009916,0.29633333333333334,0.2703333333333333,good_dare_drop80
0.9426666666666668,invert,invert,conv2,0.387,0.5756073376301437,0.6573333333333333,0.2703333333333333,good_dare_drop80
0.9426666666666668,invert,invert,fc1,0.515,0.7659890927119484,0.7853333333333333,0.2703333333333333,good_dare_drop80
0.9426666666666668,invert,invert,fc2,0.027333333333333376,0.04065443728309376,0.2976666666666667,0.2703333333333333,good_dare_drop80
0.8946666666666667,labelperm,labelperm_task,all,0.8916666666666667,1.0,0.8946666666666667,0.003,good_dare_drop80
0.8946666666666667,labelperm,labelperm_task,conv1,0.0003333333333333335,0.0003738317757009347,0.0033333333333333335,0.003,good_dare_drop80
0.8946666666666667,labelperm,labelperm_task,conv2,0.0006666666666666665,0.000747663551401869,0.0036666666666666666,0.003,good_dare_drop80
0.8946666666666667,labelperm,labelperm_task,fc1,0.736,0.8254205607476635,0.739,0.003,good_dare_drop80
0.8946666666666667,labelperm,labelperm_task,fc2,0.009999999999999998,0.011214953271028035,0.013,0.003,good_dare_drop80
0.918,noise,noise,all,0.3556666666666667,1.0,0.918,0.5623333333333334,good_dare_drop80
0.918,noise,noise,conv1,0.03400000000000003,0.09559512652296165,0.5963333333333334,0.5623333333333334,good_dare_drop80
0.918,noise,noise,conv2,0.2683333333333333,0.754451733833177,0.8306666666666667,0.5623333333333334,good_dare_drop80
0.918,noise,noise,fc1,0.19366666666666665,0.5445173383317713,0.756,0.5623333333333334,good_dare_drop80
0.918,noise,noise,fc2,0.03833333333333333,0.10777881911902529,0.6006666666666667,0.5623333333333334,good_dare_drop80
0.9573333333333334,rotate25,rotate25,all,0.08800000000000008,1.0,0.9573333333333334,0.8693333333333333,good_dare_drop80
0.9573333333333334,rotate25,rotate25,conv1,0.004333333333333411,0.04924242424242509,0.8736666666666667,0.8693333333333333,good_dare_drop80
0.9573333333333334,rotate25,rotate25,conv2,0.03966666666666674,0.4507575757575762,0.909,0.8693333333333333,good_dare_drop80
0.9573333333333334,rotate25,rotate25,fc1,0.06966666666666665,0.7916666666666659,0.939,0.8693333333333333,good_dare_drop80
0.9573333333333334,rotate25,rotate25,fc2,0.006333333333333413,0.07196969696969781,0.8756666666666667,0.8693333333333333,good_dare_drop80
0.973,clean,clean,all,0.0086666666666666,1.0,0.973,0.9643333333333334,good_della_like
0.973,clean,clean,conv1,-0.0006666666666667043,-0.07692307692308185,0.9636666666666667,0.9643333333333334,good_della_like
0.973,clean,clean,conv2,0.0023333333333332984,0.2692307692307673,0.9666666666666667,0.9643333333333334,good_della_like
0.973,clean,clean,fc1,0.0043333333333333,0.5,0.9686666666666667,0.9643333333333334,good_della_like
0.973,clean,clean,fc2,-0.0016666666666667052,-0.19230769230769823,0.9626666666666667,0.9643333333333334,good_della_like
0.9426666666666668,invert,invert,all,0.6816666666666666,0.9999999999999999,0.9426666666666667,0.261,good_della_like
0.9426666666666668,invert,invert,conv1,0.03899999999999998,0.05721271393643028,0.3,0.261,good_della_like
0.9426666666666668,invert,invert,conv2,0.387,0.5677261613691931,0.648,0.261,good_della_like
0.9426666666666668,invert,invert,fc1,0.525,0.7701711491442542,0.786,0.261,good_della_like
0.9426666666666668,invert,invert,fc2,0.033999999999999975,0.0498777506112469,0.295,0.261,good_della_like
0.8946666666666667,labelperm,labelperm_task,all,0.8913333333333334,1.0,0.8946666666666667,0.0033333333333333,good_della_like
0.8946666666666667,labelperm,labelperm_task,conv1,3.3393426912553537e-17,3.7464577687980775e-17,0.0033333333333333335,0.0033333333333333,good_della_like
0.8946666666666667,labelperm,labelperm_task,conv2,0.00033333333333336644,0.00037397157816009696,0.0036666666666666666,0.0033333333333333,good_della_like
0.8946666666666667,labelperm,labelperm_task,fc1,0.7313333333333334,0.8204936424831712,0.7346666666666667,0.0033333333333333,good_della_like
0.8946666666666667,labelperm,labelperm_task,fc2,0.011000000000000034,0.012341062079282011,0.014333333333333333,0.0033333333333333,good_della_like
0.918,noise,noise,all,0.3453333333333334,1.0,0.918,0.5726666666666667,good_della_like
0.918,noise,noise,conv1,0.03866666666666663,0.11196911196911184,0.6113333333333333,0.5726666666666667,good_della_like
0.918,noise,noise,conv2,0.272,0.7876447876447876,0.8446666666666667,0.5726666666666667,good_della_like
0.918,noise,noise,fc1,0.17166666666666663,0.49710424710424694,0.7443333333333333,0.5726666666666667,good_della_like
0.918,noise,noise,fc2,0.04400000000000004,0.12741312741312752,0.6166666666666667,0.5726666666666667,good_della_like
0.9573333333333334,rotate25,rotate25,all,0.09533333333333338,1.0,0.9573333333333334,0.862,good_della_like
0.9573333333333334,rotate25,rotate25,conv1,0.002666666666666706,0.02797202797202837,0.8646666666666667,0.862,good_della_like
0.9573333333333334,rotate25,rotate25,conv2,0.04366666666666663,0.45804195804195746,0.9056666666666666,0.862,good_della_like
0.9573333333333334,rotate25,rotate25,fc1,0.07466666666666666,0.7832167832167828,0.9366666666666666,0.862,good_della_like
0.9573333333333334,rotate25,rotate25,fc2,0.008333333333333304,0.08741258741258706,0.8703333333333333,0.862,good_della_like
0.973,clean,clean,all,0.009333333333333194,1.0,0.973,0.9636666666666668,good_linear_taskavg
0.973,clean,clean,conv1,-1.1102230246251565e-16,-1.189524669241257e-14,0.9636666666666667,0.9636666666666668,good_linear_taskavg
0.973,clean,clean,conv2,0.0033333333333331883,0.35714285714284694,0.967,0.9636666666666668,good_linear_taskavg
0.973,clean,clean,fc1,0.006333333333333191,0.6785714285714235,0.97,0.9636666666666668,good_linear_taskavg
0.973,clean,clean,fc2,-1.1102230246251565e-16,-1.189524669241257e-14,0.9636666666666667,0.9636666666666668,good_linear_taskavg
0.9426666666666668,invert,invert,all,0.677,0.9999999999999999,0.9426666666666667,0.2656666666666666,good_linear_taskavg
0.9426666666666668,invert,invert,conv1,0.03966666666666674,0.05859182668636149,0.30533333333333335,0.2656666666666666,good_linear_taskavg
0.9426666666666668,invert,invert,conv2,0.385,0.5686853766617429,0.6506666666666666,0.2656666666666666,good_linear_taskavg
0.9426666666666668,invert,invert,fc1,0.544,0.8035450516986705,0.8096666666666666,0.2656666666666666,good_linear_taskavg
0.9426666666666668,invert,invert,fc2,0.036666666666666736,0.05416051206302323,0.30233333333333334,0.2656666666666666,good_linear_taskavg
0.8946666666666667,labelperm,labelperm_task,all,0.8916666666666667,1.0,0.8946666666666667,0.003,good_linear_taskavg
0.8946666666666667,labelperm,labelperm_task,conv1,0.0,0.0,0.003,0.003,good_linear_taskavg
0.8946666666666667,labelperm,labelperm_task,conv2,0.0003333333333333335,0.0003738317757009347,0.0033333333333333335,0.003,good_linear_taskavg
0.8946666666666667,labelperm,labelperm_task,fc1,0.7366666666666667,0.8261682242990654,0.7396666666666667,0.003,good_linear_taskavg
0.8946666666666667,labelperm,labelperm_task,fc2,0.009999999999999998,0.011214953271028035,0.013,0.003,good_linear_taskavg
0.918,noise,noise,all,0.3373333333333334,1.0,0.918,0.5806666666666667,good_linear_taskavg
0.918,noise,noise,conv1,0.03533333333333333,0.10474308300395253,0.616,0.5806666666666667,good_linear_taskavg
0.918,noise,noise,conv2,0.251,0.7440711462450592,0.8316666666666667,0.5806666666666667,good_linear_taskavg
0.918,noise,noise,fc1,0.20399999999999996,0.6047430830039524,0.7846666666666666,0.5806666666666667,good_linear_taskavg
0.918,noise,noise,fc2,0.042333333333333334,0.12549407114624506,0.623,0.5806666666666667,good_linear_taskavg
0.9573333333333334,rotate25,rotate25,all,0.08633333333333337,1.0,0.9573333333333334,0.871,good_linear_taskavg
0.9573333333333334,rotate25,rotate25,conv1,0.005333333333333301,0.061776061776061375,0.8763333333333333,0.871,good_linear_taskavg
0.9573333333333334,rotate25,rotate25,conv2,0.039000000000000035,0.45173745173745194,0.91,0.871,good_linear_taskavg
