act_rowcos_l0,act_rowcos_l10,act_rowcos_l15,act_rowcos_l20,act_rowcos_l25,act_rowcos_l29,act_rowcos_l5,act_rowcos_logits,base_loss,expert,expert_loss,loss_gap_closed_vs_base,loss_improvement_vs_base,sign_agree_all,sign_agree_l0,sign_agree_l10,sign_agree_l15,sign_agree_l20,sign_agree_l25,sign_agree_l29,sign_agree_l5,target_loss,target_model,task,weight_cos_all,weight_cos_l0,weight_cos_l10,weight_cos_l15,weight_cos_l20,weight_cos_l25,weight_cos_l29,weight_cos_l5
0.9999392032623291,0.9784610271453857,0.9147039651870728,0.8665415048599243,0.9471806287765503,0.8949694633483887,0.9859768152236938,0.9928613901138306,8.515694618225098,arith,1.0545302033424377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.515694618225098,base,arith,nan,nan,nan,nan,nan,nan,nan,nan
0.9999618530273438,0.9840691685676575,0.9358454942703247,0.8302627205848694,0.8717670440673828,0.6363087892532349,0.9968612194061279,0.8661481738090515,2.477249026298523,polite,0.2583068311214447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.477249026298523,base,polite,nan,nan,nan,nan,nan,nan,nan,nan
0.999947190284729,0.9761034846305847,0.9080531597137451,0.8466992378234863,0.8961544632911682,0.6733877658843994,0.9960157871246338,0.9435743689537048,3.614497184753418,refusal,0.23539680242538452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.614497184753418,base,refusal,nan,nan,nan,nan,nan,nan,nan,nan
0.9999540448188782,0.9858991503715515,0.962265133857727,0.9293325543403625,0.9614465236663818,0.9641421437263489,0.9910138845443726,0.9970066547393799,8.515694618225098,arith,1.0545302033424377,0.8685204594206564,6.480173945426941,0.5233346819877625,0.612930178642273,0.5234051942825317,0.5218162536621094,0.5463916063308716,0.5342925190925598,0.5820985436439514,0.5459516644477844,2.0355206727981567,merge_all_linear,arith,0.535870368123487,0.6412186557444358,0.5221341043930386,0.49258154247958214,0.5243160210733969,0.5266650424873326,0.5846229687698744,0.5619686222788216
0.9999812841415405,0.9941372871398926,0.9805336594581604,0.9351169466972351,0.9531848430633545,0.9126796126365662,0.9989951252937317,0.9373886585235596,2.477249026298523,polite,0.2583068311214447,0.9425870365653399,2.0915461480617523,0.5967387557029724,0.683901309967041,0.5955908298492432,0.6223785281181335,0.6321567296981812,0.5765181183815002,0.6351382732391357,0.6045429110527039,0.38570287823677063,merge_all_linear,polite,0.6636814278675809,0.7554671740698709,0.6464461270095445,0.6685831173290923,0.6795396030720274,0.6131469610476482,0.6795591734983989,0.6659212236400618
0.9999597072601318,0.9822512865066528,0.9325075149536133,0.8831099271774292,0.949548065662384,0.8782646059989929,0.9975422620773315,0.9769227504730225,3.614497184753418,refusal,0.23539680242538452,0.9251603452253503,3.1262096762657166,0.6049543023109436,0.6558641791343689,0.6112547516822815,0.6399619579315186,0.6533340215682983,0.6135018467903137,0.6743908524513245,0.601755678653717,0.4882875084877014,merge_all_linear,refusal,0.6840428862645211,0.7275453360946006,0.6654107689701164,0.6958107444963607,0.7144057215223136,0.6605480680663638,0.7286977773343035,0.6532478991815028
0.999970555305481,0.9933297634124756,0.9817245602607727,0.9617659449577332,0.9777544736862183,0.9758521914482117,0.9958887100219727,0.9979957938194275,8.515694618225098,arith,1.0545302033424377,0.9535313064520579,7.114453852176666,0.5505680441856384,0.6448119878768921,0.5452965497970581,0.5448023676872253,0.5682428479194641,0.5548200607299805,0.5956355333328247,0.5756986737251282,1.4012407660484314,merge_arith_polite,arith,0.6667258727201683,0.7366841981251364,0.6539858988320318,0.637049330186307,0.6597115763976784,0.6691924347383508,0.7042379265167895,0.6908920560972104
0.9999801516532898,0.9919691681861877,0.9830793142318726,0.9483840465545654,0.9548226594924927,0.8837695717811584,0.9982218742370605,0.925218939781189,2.477249026298523,polite,0.2583068311214447,0.97626266455417,2.1662704199552536,0.6089152097702026,0.679602324962616,0.6101853847503662,0.6440353989601135,0.6670869588851929,0.6267585158348083,0.6618349552154541,0.6127281785011292,0.31097860634326935,merge_arith_polite,polite,0.7413173096860782,0.7876760947675695,0.7269693511630255,0.7513993012758083,0.7779006849358111,0.7469339092981908,0.7726436014086818,0.7310880063144704
0.9999164342880249,0.9638888239860535,0.8822957873344421,0.8416575789451599,0.922075629234314,0.8176872730255127,0.9944433569908142,0.9645934104919434,3.614497184753418,refusal,0.23539680242538452,0.052894155226451495,0.1787346601486206,0.37362366914749146,0.49065643548965454,0.3779618740081787,0.40305161476135254,0.4168362319469452,0.35317322611808777,0.43460652232170105,0.3860655725002289,3.4357625246047974,merge_arith_polite,refusal,0.20391249964939262,0.39403718674181987,0.17065911613823304,0.19578573743390867,0.22420120837633017,0.09611041387264159,0.26986088574283496,0.188754511994082
0.9999681711196899,0.9897977113723755,0.9742199778556824,0.9511703848838806,0.9701964855194092,0.9666075706481934,0.9915942549705505,0.9972885251045227,8.515694618225098,arith,1.0545302033424377,0.9550274690991558,7.12561696767807,0.5381444692611694,0.642169713973999,0.5488529205322266,0.5393993258476257,0.5497597455978394,0.5241485238075256,0.5780084133148193,0.5656449794769287,1.3900776505470276,merge_arith_refusal,arith,0.6448144212483218,0.7279169820511344,0.6498894966740246,0.6258904782947862,0.627278833767161,0.6227126886002388,0.6795960268272674,0.6674367103201339
