basis_kind,effective_rank,explained_fraction,explained_sq,layer,n_rows,rank,residual_total_sq,uncentered_n_rows,uncentered_residual_energy
centered_pca,32,0.7004551492561922,1939.5517578125,16,164,32,2768.98779296875,164,3369.6495361328125
centered_pca,64,0.9247688236425801,2560.673583984375,16,164,64,2768.98779296875,164,3369.6495361328125
raw_pca,32,0.7481348833792225,2520.95263671875,16,164,32,3369.64990234375,164,3369.6495361328125
raw_pca,64,0.9371367487494282,3157.82275390625,16,164,64,3369.64990234375,164,3369.6495361328125
centered_pca,32,0.7260550832502707,3233.437744140625,17,164,32,4453.43310546875,164,4996.9178466796875
centered_pca,64,0.9324536865925176,4152.6201171875,17,164,64,4453.43310546875,164,4996.9178466796875
raw_pca,32,0.748460623384258,3739.996337890625,17,164,32,4996.91796875,164,4996.9178466796875
raw_pca,64,0.9377827426437078,4686.0234375,17,164,64,4996.91796875,164,4996.9178466796875
centered_pca,32,0.7295126065939765,4351.2548828125,18,164,32,5964.60546875,164,6814.24365234375
centered_pca,64,0.9335641436887787,5568.341796875,18,164,64,5964.60546875,164,6814.24365234375
raw_pca,32,0.7575365248427689,5162.0380859375,18,164,32,6814.2431640625,164,6814.24365234375
raw_pca,64,0.9390591713559532,6398.9775390625,18,164,64,6814.2431640625,164,6814.24365234375
centered_pca,32,0.733567178864218,7043.58740234375,19,164,32,9601.830078125,164,10493.16748046875
centered_pca,64,0.9357709111849405,8985.11328125,19,164,64,9601.830078125,164,10493.16748046875
raw_pca,32,0.7487813406118787,7857.08837890625,19,164,32,10493.16796875,164,10493.16748046875
raw_pca,64,0.9388469283026791,9851.478515625,19,164,64,10493.16796875,164,10493.16748046875
centered_pca,32,0.7376693266435067,8823.109375,20,164,32,11960.7919921875,164,13712.600341796875
centered_pca,64,0.9362564910366725,11198.369140625,20,164,64,11960.7919921875,164,13712.600341796875
raw_pca,32,0.7649251116531156,10489.11328125,20,164,32,13712.6015625,164,13712.600341796875
raw_pca,64,0.9420566763122197,12918.0478515625,20,164,64,13712.6015625,164,13712.600341796875
centered_pca,32,0.7286433165122695,13564.8623046875,21,164,32,18616.6015625,164,21608.294921875
centered_pca,64,0.9340409370836262,17388.66796875,21,164,64,18616.6015625,164,21608.294921875
raw_pca,32,0.7605818512078559,16434.876953125,21,164,32,21608.294921875,164,21608.294921875
raw_pca,64,0.9415593530660019,20345.4921875,21,164,64,21608.294921875,164,21608.294921875
centered_pca,32,0.7324480021826651,16904.59375,22,164,32,23079.58203125,164,24814.689453125
centered_pca,64,0.936904626705186,21623.3671875,22,164,64,23079.58203125,164,24814.689453125
raw_pca,32,0.743185109625096,18441.90625,22,164,32,24814.6875,164,24814.689453125
raw_pca,64,0.9386714962156989,23292.83984375,22,164,64,24814.6875,164,24814.689453125
centered_pca,32,0.723233065140962,16893.3203125,23,164,32,23358.05859375,164,26523.04248046875
centered_pca,64,0.9394957541921677,21944.796875,23,164,64,23358.05859375,164,26523.04248046875
raw_pca,32,0.7494238132260878,19877.0,23,164,32,26523.04296875,164,26523.04248046875
raw_pca,64,0.9442196415587331,25043.578125,23,164,64,26523.04296875,164,26523.04248046875
