bundle,feature_ids,layer,selected_features
l20_top1,473,20,1
l20_top2,"473,14425",20,2
l20_top5,"473,1170,14053,14077,14425",20,5
l20_top10,"473,1170,1278,2692,8611,11694,14053,14077,14211,14425",20,10
l20_top20,"473,1170,1278,1813,2305,2692,3166,7211,8456,8611,10209,10370,10640,11694,14053,14077,14211,14425,14729,15247",20,20
l20_top30,"473,1170,1278,1813,2305,2692,3166,3248,3897,5739,5971,6117,7211,8456,8468,8611,10209,10370,10590,10640,11611,11694,13882,14053,14077,14211,14425,14729,15247,15832",20,30
