benign_gap_closed,benign_refusal_loss,dim_per_layer,harmful_gap_closed,harmful_refusal_loss,layers,n_layers,specificity,variant
1.0,0.45986703725961536,full,1.0,0.08910663311298077,12+13+14+15+16+17+18+19+20+21+22+23+24,13,0.0,base
0.9269935481993876,0.6483623798076923,64,0.9449606387988037,0.20599834735576922,12+13+14+15+16+17+18+19+20+21+22+23+24,13,0.017967090599416036,pca_rank64
0.9409300194208654,0.6123798076923077,256,0.9417860987865564,0.2127403846153846,12+13+14+15+16+17+18+19+20+21+22+23+24,13,0.0008560793656909871,pca_rank256
0.9558266233152218,0.5739182692307693,full,0.9276863660580658,0.24268517127403846,12+13+14+15+16+17+18+19+20+21+22+23+24,13,-0.028140257257156076,full_12_24_mlp
0.9240113179275682,0.6560621995192307,128,0.9150987401320663,0.26941856971153844,12+13+14+15+16+17+18+19+20+21+22+23+24,13,-0.00891257779550192,pca_rank128
0.8346171470966898,0.8868689903846154,1,0.8531554176089701,0.40097280649038464,12+13+14+15+16+17+18+19+20+21+22+23+24,13,0.018538270512280297,mean_delta_rank1
0.49473018089772414,1.7644230769230769,256,0.48652699574885766,1.1796123798076923,12+13+14+15+16+17+18+19+20+21+22+23+24,13,-0.008203185148866476,random_rank256
0.1398884209454397,2.6805889423076925,1,0.3709348312917681,1.4251051682692308,12+13+14+15+16+17+18+19+20+21+22+23+24,13,0.23104641034632836,refusal_direction_rank1
0.22804605727336874,2.4529747596153846,128,0.32718100404775957,1.5180288461538463,12+13+14+15+16+17+18+19+20+21+22+23+24,13,0.09913494677439083,random_rank128
0.0,3.041766826923077,0,0.0,2.212890625,12+13+14+15+16+17+18+19+20+21+22+23+24,13,0.0,abliterated
