delta_norm,delta_sq,group,layer,mask,n_prompts,pca_energy_fraction,pca_sq,residual_energy_fraction,residual_norm,residual_sq
6.699595698214277,44.88458251953125,heldout_original_residual,12,all,2,0.774170626022418,34.74832534790039,0.2258294377193567,3.1837493671226396,10.136260032653809
7.029811050675766,49.418243408203125,heldout_original_residual,13,all,2,0.7673378827260786,37.92049026489258,0.2326621365719427,3.390833835059581,11.497754096984863
8.131956907444312,66.12872314453125,heldout_original_residual,14,all,2,0.7846518838380622,51.88802719116211,0.2153489526080042,3.7736919941192197,14.240751266479492
8.215087538732803,67.48766326904297,heldout_original_residual,15,all,2,0.7782483336900021,52.52216148376465,0.22175187121081857,3.8685288694225752,14.965515613555908
9.508712387441838,90.41561126708984,heldout_original_residual,16,all,2,0.7658939300672393,69.2487678527832,0.23410622814785811,4.600745343900419,21.166857719421387
11.86821898547575,140.85462188720703,heldout_original_residual,17,all,2,0.777593032904117,109.52757263183594,0.22240722437976573,5.5970604333877905,31.327085494995117
13.77829425281264,189.84139251708984,heldout_original_residual,18,all,2,0.7758497796739133,147.28840255737305,0.2241500495259976,6.523262798231422,42.55295753479004
18.552677522711345,344.20184326171875,heldout_original_residual,19,all,2,0.8051768954976263,277.14337158203125,0.1948232984502083,8.188927795315431,67.05853843688965
19.4842179819004,379.63475036621094,heldout_original_residual,20,all,2,0.7671078234208448,291.22078704833984,0.2328922167724964,9.402870762520356,88.41397857666016
24.510253006474784,600.7525024414062,heldout_original_residual,21,all,2,0.7668592216650484,460.6925964355469,0.23314074023576184,11.834689819242234,140.05988311767578
29.463056805236516,868.0717163085938,heldout_original_residual,22,all,2,0.8113943433381237,704.3484802246094,0.18860594669553926,12.795447934871365,163.7234878540039
32.242116511613155,1039.5540771484375,heldout_original_residual,23,all,2,0.8336960709495167,866.6721496582031,0.1663042372928127,13.14846941376846,172.8822479248047
37.73053406305818,1423.5932006835938,heldout_original_residual,24,all,2,0.8297417556591877,1181.2147216796875,0.17025824434081224,15.568509209423562,242.37847900390625
7.507439674544108,56.361650466918945,heldout_original_residual,12,target,2,0.7860889929409524,44.30527305603027,0.2139109478368623,3.4722289776206527,12.056374073028564
