base_layer_patched_loss,layer,loss_increase,original_loss,source_expert,target_model,task
1.0262137651443481,0,0.0215451717376709,1.0046685934066772,expert_arith,expert_arith,arith
1.0190792083740234,5,0.014410614967346191,1.0046685934066772,expert_arith,expert_arith,arith
0.998543381690979,10,-0.006125211715698242,1.0046685934066772,expert_arith,expert_arith,arith
0.9718481302261353,15,-0.03282046318054199,1.0046685934066772,expert_arith,expert_arith,arith
1.0002145767211914,20,-0.00445401668548584,1.0046685934066772,expert_arith,expert_arith,arith
1.0162763595581055,25,0.011607766151428223,1.0046685934066772,expert_arith,expert_arith,arith
1.0205250978469849,29,0.015856504440307617,1.0046685934066772,expert_arith,expert_arith,arith
0.26260292530059814,0,0.005376070737838745,0.2572268545627594,expert_polite,expert_polite,polite
0.257881224155426,5,0.000654369592666626,0.2572268545627594,expert_polite,expert_polite,polite
0.25778695940971375,10,0.0005601048469543457,0.2572268545627594,expert_polite,expert_polite,polite
0.2586703896522522,15,0.0014435350894927979,0.2572268545627594,expert_polite,expert_polite,polite
0.25904953479766846,20,0.0018226802349090576,0.2572268545627594,expert_polite,expert_polite,polite
0.2581733465194702,25,0.0009464919567108154,0.2572268545627594,expert_polite,expert_polite,polite
0.2618751525878906,29,0.004648298025131226,0.2572268545627594,expert_polite,expert_polite,polite
0.23971648514270782,0,0.004601836204528809,0.23511464893817902,expert_refusal,expert_refusal,refusal
0.2359270602464676,5,0.0008124113082885742,0.23511464893817902,expert_refusal,expert_refusal,refusal
0.23558470606803894,10,0.0004700571298599243,0.23511464893817902,expert_refusal,expert_refusal,refusal
0.23526647686958313,15,0.00015182793140411377,0.23511464893817902,expert_refusal,expert_refusal,refusal
0.23603138327598572,20,0.0009167343378067017,0.23511464893817902,expert_refusal,expert_refusal,refusal
0.2368047684431076,25,0.0016901195049285889,0.23511464893817902,expert_refusal,expert_refusal,refusal
0.23912790417671204,29,0.00401325523853302,0.23511464893817902,expert_refusal,expert_refusal,refusal
2.1276676654815674,0,-0.18211126327514648,2.309778928756714,expert_arith,merge_all_linear,arith
0.3991832733154297,0,0.02047574520111084,0.37870752811431885,expert_polite,merge_all_linear,polite
0.4926963746547699,0,0.00581398606300354,0.48688238859176636,expert_refusal,merge_all_linear,refusal
2.268648386001587,5,-0.04113054275512695,2.309778928756714,expert_arith,merge_all_linear,arith
0.3888937532901764,5,0.010186225175857544,0.37870752811431885,expert_polite,merge_all_linear,polite
0.49705833196640015,5,0.010175943374633789,0.48688238859176636,expert_refusal,merge_all_linear,refusal
2.3727030754089355,10,0.06292414665222168,2.309778928756714,expert_arith,merge_all_linear,arith
0.39599549770355225,10,0.0172879695892334,0.37870752811431885,expert_polite,merge_all_linear,polite
0.5081907510757446,10,0.02130836248397827,0.48688238859176636,expert_refusal,merge_all_linear,refusal
2.434813976287842,15,0.12503504753112793,2.309778928756714,expert_arith,merge_all_linear,arith
0.40627220273017883,15,0.027564674615859985,0.37870752811431885,expert_polite,merge_all_linear,polite
0.506568431854248,15,0.01968604326248169,0.48688238859176636,expert_refusal,merge_all_linear,refusal
2.4604287147521973,20,0.1506497859954834,2.309778928756714,expert_arith,merge_all_linear,arith
0.4006738066673279,20,0.021966278553009033,0.37870752811431885,expert_polite,merge_all_linear,polite
0.522595226764679,20,0.0357128381729126,0.48688238859176636,expert_refusal,merge_all_linear,refusal
2.3588850498199463,25,0.04910612106323242,2.309778928756714,expert_arith,merge_all_linear,arith
0.3913998603820801,25,0.01269233226776123,0.37870752811431885,expert_polite,merge_all_linear,polite
0.5179380774497986,25,0.031055688858032227,0.48688238859176636,expert_refusal,merge_all_linear,refusal
2.4083099365234375,29,0.09853100776672363,2.309778928756714,expert_arith,merge_all_linear,arith
0.4044296145439148,29,0.025722086429595947,0.37870752811431885,expert_polite,merge_all_linear,polite
0.5639428496360779,29,0.07706046104431152,0.48688238859176636,expert_refusal,merge_all_linear,refusal
1.4077532291412354,0,-0.17651128768920898,1.5842645168304443,expert_arith,merge_arith_polite,arith
0.3215875029563904,0,0.014147371053695679,0.3074401319026947,expert_polite,merge_arith_polite,polite
1.5628451108932495,5,-0.021419405937194824,1.5842645168304443,expert_arith,merge_arith_polite,arith
0.31084299087524414,5,0.0034028589725494385,0.3074401319026947,expert_polite,merge_arith_polite,polite
1.6268664598464966,10,0.042601943016052246,1.5842645168304443,expert_arith,merge_arith_polite,arith
0.3131715655326843,10,0.005731433629989624,0.3074401319026947,expert_polite,merge_arith_polite,polite
1.6849939823150635,15,0.10072946548461914,1.5842645168304443,expert_arith,merge_arith_polite,arith
0.3156590163707733,15,0.008218884468078613,0.3074401319026947,expert_polite,merge_arith_polite,polite
1.7239035367965698,20,0.1396390199661255,1.5842645168304443,expert_arith,merge_arith_polite,arith
0.31560638546943665,20,0.008166253566741943,0.3074401319026947,expert_polite,merge_arith_polite,polite
1.6296613216400146,25,0.04539680480957031,1.5842645168304443,expert_arith,merge_arith_polite,arith
0.3122032582759857,25,0.004763126373291016,0.3074401319026947,expert_polite,merge_arith_polite,polite
1.6786741018295288,29,0.09440958499908447,1.5842645168304443,expert_arith,merge_arith_polite,arith
0.32183873653411865,29,0.01439860463142395,0.3074401319026947,expert_polite,merge_arith_polite,polite
1.4656363725662231,0,0.007865071296691895,1.4577713012695312,expert_arith,merge_arith_refusal,arith
0.32305043935775757,0,0.0076535046100616455,0.3153969347476959,expert_refusal,merge_arith_refusal,refusal
1.4870525598526,5,0.029281258583068848,1.4577713012695312,expert_arith,merge_arith_refusal,arith
0.31986984610557556,5,0.004472911357879639,0.3153969347476959,expert_refusal,merge_arith_refusal,refusal
1.5426669120788574,10,0.08489561080932617,1.4577713012695312,expert_arith,merge_arith_refusal,arith
0.32626259326934814,10,0.010865658521652222,0.3153969347476959,expert_refusal,merge_arith_refusal,refusal
1.5645521879196167,15,0.10678088665008545,1.4577713012695312,expert_arith,merge_arith_refusal,arith
0.3285236954689026,15,0.013126760721206665,0.3153969347476959,expert_refusal,merge_arith_refusal,refusal
1.5270823240280151,20,0.06931102275848389,1.4577713012695312,expert_arith,merge_arith_refusal,arith
0.33171653747558594,20,0.016319602727890015,0.3153969347476959,expert_refusal,merge_arith_refusal,refusal
1.4842705726623535,25,0.026499271392822266,1.4577713012695312,expert_arith,merge_arith_refusal,arith
0.32855284214019775,25,0.013155907392501831,0.3153969347476959,expert_refusal,merge_arith_refusal,refusal
1.5093343257904053,29,0.05156302452087402,1.4577713012695312,expert_arith,merge_arith_refusal,arith
0.36165571212768555,29,0.046258777379989624,0.3153969347476959,expert_refusal,merge_arith_refusal,refusal
0.3057919144630432,0,0.008804231882095337,0.2969876825809479,expert_polite,merge_polite_refusal,polite
0.3355388939380646,0,0.009325355291366577,0.326213538646698,expert_refusal,merge_polite_refusal,refusal
0.29862165451049805,5,0.001633971929550171,0.2969876825809479,expert_polite,merge_polite_refusal,polite
0.3275038003921509,5,0.0012902617454528809,0.326213538646698,expert_refusal,merge_polite_refusal,refusal
0.30485689640045166,10,0.007869213819503784,0.2969876825809479,expert_polite,merge_polite_refusal,polite
0.3283962309360504,10,0.002182692289352417,0.326213538646698,expert_refusal,merge_polite_refusal,refusal
0.30840736627578735,15,0.011419683694839478,0.2969876825809479,expert_polite,merge_polite_refusal,polite
0.3244742751121521,15,-0.0017392635345458984,0.326213538646698,expert_refusal,merge_polite_refusal,refusal
0.3067820966243744,20,0.009794414043426514,0.2969876825809479,expert_polite,merge_polite_refusal,polite
0.33838707208633423,20,0.01217353343963623,0.326213538646698,expert_refusal,merge_polite_refusal,refusal
0.3027029037475586,25,0.005715221166610718,0.2969876825809479,expert_polite,merge_polite_refusal,polite
0.3237854838371277,25,-0.0024280548095703125,0.326213538646698,expert_refusal,merge_polite_refusal,refusal
0.3071722090244293,29,0.010184526443481445,0.2969876825809479,expert_polite,merge_polite_refusal,polite
0.3437134623527527,29,0.017499923706054688,0.326213538646698,expert_refusal,merge_polite_refusal,refusal
