bundle,feature_ids,layer,selected_features
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f1813,"6289,8754,8775,9135,9149,12652,12704,13622,14991,15169",20,10
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f6289,"1813,8754,8775,9135,9149,12652,12704,13622,14991,15169",20,10
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f8754,"1813,6289,8775,9135,9149,12652,12704,13622,14991,15169",20,10
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f8775,"1813,6289,8754,9135,9149,12652,12704,13622,14991,15169",20,10
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f9135,"1813,6289,8754,8775,9149,12652,12704,13622,14991,15169",20,10
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f9149,"1813,6289,8754,8775,9135,12652,12704,13622,14991,15169",20,10
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f12652,"1813,6289,8754,8775,9135,9149,12704,13622,14991,15169",20,10
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f12704,"1813,6289,8754,8775,9135,9149,12652,13622,14991,15169",20,10
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f13622,"1813,6289,8754,8775,9135,9149,12652,12704,14991,15169",20,10
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f14991,"1813,6289,8754,8775,9135,9149,12652,12704,13622,15169",20,10
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f1338_drop_f15169,"1813,6289,8754,8775,9135,9149,12652,12704,13622,14991",20,10
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f8775_drop_f1338,"1813,6289,8754,9135,9149,12652,12704,13622,14991,15169",20,10
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f8775_drop_f1813,"1338,6289,8754,9135,9149,12652,12704,13622,14991,15169",20,10
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f8775_drop_f6289,"1338,1813,8754,9135,9149,12652,12704,13622,14991,15169",20,10
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f8775_drop_f8754,"1338,1813,6289,9135,9149,12652,12704,13622,14991,15169",20,10
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f8775_drop_f9135,"1338,1813,6289,8754,9149,12652,12704,13622,14991,15169",20,10
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f8775_drop_f9149,"1338,1813,6289,8754,9135,12652,12704,13622,14991,15169",20,10
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f8775_drop_f12652,"1338,1813,6289,8754,9135,9149,12704,13622,14991,15169",20,10
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f8775_drop_f12704,"1338,1813,6289,8754,9135,9149,12652,13622,14991,15169",20,10
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f8775_drop_f13622,"1338,1813,6289,8754,9135,9149,12652,12704,14991,15169",20,10
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f8775_drop_f14991,"1338,1813,6289,8754,9135,9149,12652,12704,13622,15169",20,10
lo10_lo_swap1_critical12_p10_p22_drop_rank002_rank020_drop_f4339_add_f1813_drop_f8775_drop_f15169,"1338,1813,6289,8754,9135,9149,12652,12704,13622,14991",20,10
