benign_delta,benign_mean_high,benign_mean_low,feature_id,global_specificity_rank,harm_delta,harm_mean_high,harm_mean_low,harm_nonzero_high,harm_nonzero_low,high_alpha,layer,low_alpha,rank,rank_type,specificity
0.02539825439453125,0.4208054840564728,0.39540722966194153,16011,1,0.3912649154663086,6.067812442779541,5.676547527313232,0.333680659532547,0.3180515766143799,1.0,17,0.75,1,harm_delta,0.36586666107177734
0.059223175048828125,1.3783338069915771,1.319110631942749,4342,2,0.3648967742919922,9.497684478759766,9.132787704467773,0.43865591287612915,0.42953893542289734,1.0,17,0.75,2,harm_delta,0.30567359924316406
0.06227898597717285,1.0977427959442139,1.035463809967041,6340,3,0.26769471168518066,3.5102779865264893,3.2425832748413086,0.2630893588066101,0.24928367137908936,1.0,19,0.75,1,harm_delta,0.2054157257080078
0.04229545593261719,0.9572868943214417,0.9149914383888245,11128,4,0.23545265197753906,4.988962173461914,4.753509521484375,0.4347486197948456,0.41755664348602295,1.0,15,0.75,1,harm_delta,0.19315719604492188
0.02123945951461792,0.7484833598136902,0.7272439002990723,16332,5,0.21379470825195312,5.086472511291504,4.872677803039551,0.39906224608421326,0.3912477195262909,1.0,16,0.75,1,harm_delta,0.1925552487373352
0.0076372623443603516,2.6754868030548096,2.667849540710449,3001,6,0.18010878562927246,3.96832013130188,3.7882113456726074,0.5806199312210083,0.562125563621521,1.0,14,0.75,2,harm_delta,0.1724715232849121
0.008774027228355408,0.17869743704795837,0.16992340981960297,12962,7,0.1681346893310547,2.4296834468841553,2.2615487575531006,0.21802552044391632,0.20630373060703278,1.0,19,0.75,2,harm_delta,0.15936066210269928
0.005799788981676102,0.041170958429574966,0.035371169447898865,473,8,0.16163873672485352,0.7700226902961731,0.6083839535713196,0.11956238746643066,0.1047147661447525,1.0,20,0.75,1,harm_delta,0.1558389514684677
0.05281025171279907,0.774981677532196,0.722171425819397,10415,9,0.2001509666442871,4.136761665344238,3.936610698699951,0.32300078868865967,0.3131023645401001,1.0,18,0.75,1,harm_delta,0.14734071493148804
0.01544979214668274,0.32887059450149536,0.3134208023548126,11127,10,0.16240596771240234,3.9208879470825195,3.758481979370117,0.35191455483436584,0.34149518609046936,1.0,18,0.75,2,harm_delta,0.1469561755657196
0.010874345898628235,0.21824070811271667,0.20736636221408844,7189,11,0.1477741003036499,1.4396225214004517,1.2918484210968018,0.1312841922044754,0.1242511048913002,1.0,18,0.75,3,harm_delta,0.13689975440502167
