benign_delta,benign_mean_high,benign_mean_low,feature_id,global_specificity_rank,harm_delta,harm_mean_high,harm_mean_low,harm_nonzero_high,harm_nonzero_low,high_alpha,layer,low_alpha,rank,rank_type,specificity
0.13315200805664062,7.290367603302002,7.157215595245361,8681,25,0.23824501037597656,6.456377983093262,6.218132972717285,0.5113310813903809,0.4996092617511749,1.0,14,0.75,1,harm_delta,0.10509300231933594
0.0076372623443603516,2.6754868030548096,2.667849540710449,3001,6,0.18010878562927246,3.96832013130188,3.7882113456726074,0.5806199312210083,0.562125563621521,1.0,14,0.75,2,harm_delta,0.1724715232849121
0.039147526025772095,0.3251660168170929,0.2860184907913208,16029,15,0.15537697076797485,0.9472824335098267,0.7919054627418518,0.21333681046962738,0.182339146733284,1.0,14,0.75,3,harm_delta,0.11622944474220276
0.029026448726654053,0.39526769518852234,0.3662412464618683,14251,26,0.1326954960823059,0.6555936932563782,0.5228981971740723,0.18911175429821014,0.15238343179225922,1.0,14,0.75,4,harm_delta,0.10366904735565186
0.10041964054107666,0.8861595392227173,0.7857398986816406,15631,,0.13110661506652832,1.2136176824569702,1.082511067390442,0.24433445930480957,0.22610054910182953,1.0,14,0.75,5,harm_delta,0.03068697452545166
0.01809149980545044,0.3408791422843933,0.32278764247894287,5481,24,0.12367826700210571,0.9307106137275696,0.8070323467254639,0.27429017424583435,0.24225059151649475,1.0,14,0.75,6,harm_delta,0.10558676719665527
0.013128995895385742,0.6392366886138916,0.6261076927185059,10853,35,0.10228234529495239,0.7507127523422241,0.6484304070472717,0.2289658784866333,0.20031258463859558,1.0,14,0.75,7,harm_delta,0.08915334939956665
0.019112616777420044,0.4877755343914032,0.46866291761398315,13131,,0.09003305435180664,3.0718231201171875,2.981790065765381,0.393852561712265,0.3847356140613556,1.0,14,0.75,8,harm_delta,0.0709204375743866
0.04379832744598389,1.083926796913147,1.040128469467163,5421,,0.08992820978164673,1.0144604444503784,0.9245322346687317,0.26387080550193787,0.2414691299200058,1.0,14,0.75,9,harm_delta,0.04612988233566284
0.010326355695724487,0.24409478902816772,0.23376843333244324,10663,45,0.08975732326507568,1.7467281818389893,1.6569708585739136,0.3342016041278839,0.32300078868865967,1.0,14,0.75,10,harm_delta,0.0794309675693512
0.00807325541973114,0.06839655339717865,0.06032329797744751,14463,46,0.08698350191116333,0.7204502820968628,0.6334667801856995,0.14951810240745544,0.13441000878810883,1.0,14,0.75,11,harm_delta,0.07891024649143219
0.012864649295806885,0.30172139406204224,0.28885674476623535,10404,,0.08369898796081543,0.9811230301856995,0.897424042224884,0.21906746923923492,0.20317791402339935,1.0,14,0.75,12,harm_delta,0.07083433866500854
0.023298978805541992,0.708575427532196,0.685276448726654,9350,,0.07556796073913574,0.8558146953582764,0.7802467346191406,0.21958842873573303,0.20317791402339935,1.0,14,0.75,13,harm_delta,0.05226898193359375
0.00631009042263031,0.20308323204517365,0.19677314162254333,4523,,0.06605923175811768,1.3874198198318481,1.3213605880737305,0.2990362048149109,0.28835633397102356,1.0,14,0.75,14,harm_delta,0.059749141335487366
0.0306246280670166,1.0059913396835327,0.9753667116165161,558,,0.06562018394470215,0.9473276734352112,0.881707489490509,0.22427715361118317,0.20969001948833466,1.0,14,0.75,15,harm_delta,0.03499555587768555
0.04399287700653076,1.2800134420394897,1.236020565032959,4102,,0.06481790542602539,1.2080981731414795,1.143280267715454,0.3227402865886688,0.3110184967517853,1.0,14,0.75,16,harm_delta,0.02082502841949463
0.03966552019119263,0.9748655557632446,0.935200035572052,3671,,0.06307488679885864,0.7830947637557983,0.7200198769569397,0.18207865953445435,0.16957540810108185,1.0,14,0.75,17,harm_delta,0.023409366607666016
0.008901864290237427,0.29682865738868713,0.2879267930984497,1776,,0.06229037046432495,0.4538637101650238,0.39157333970069885,0.13753581047058105,0.11930190026760101,1.0,14,0.75,18,harm_delta,0.053388506174087524
0.0025973767042160034,0.10133026540279388,0.09873288869857788,7546,,0.06201207637786865,1.0202460289001465,0.9582339525222778,0.23704089224338531,0.22636103630065918,1.0,14,0.75,19,harm_delta,0.05941469967365265
0.04265403747558594,0.7292953729629517,0.6866413354873657,5794,,0.0617714524269104,1.0201376676559448,0.9583662152290344,0.26178693771362305,0.24772076308727264,1.0,14,0.75,20,harm_delta,0.019117414951324463
0.007256865501403809,0.10283317416906357,0.09557630866765976,10948,,0.05908775329589844,0.8004353046417236,0.7413475513458252,0.15212294459342957,0.14639228582382202,1.0,14,0.75,21,harm_delta,0.05183088779449463
0.011530309915542603,0.34291067719459534,0.33138036727905273,11060,,0.058873653411865234,1.3179997205734253,1.25912606716156,0.36389684677124023,0.3506121337413788,1.0,14,0.75,22,harm_delta,0.04734334349632263
0.011170804500579834,0.7554015517234802,0.7442307472229004,10874,,0.058450281620025635,1.0444756746292114,0.9860253930091858,0.27976036071777344,0.263610303401947,1.0,14,0.75,23,harm_delta,0.0472794771194458
0.004323359578847885,0.049652665853500366,0.04532930627465248,432,,0.05757978558540344,0.5268288850784302,0.46924909949302673,0.14639228582382202,0.13467048108577728,1.0,14,0.75,24,harm_delta,0.05325642600655556
0.0038675442337989807,0.10432641208171844,0.10045886784791946,13752,,0.05741852521896362,0.3463914692401886,0.288972944021225,0.10315186530351639,0.08804376423358917,1.0,14,0.75,25,harm_delta,0.05355098098516464
-0.008901834487915039,0.7861335873603821,0.7950354218482971,11414,,0.05444228649139404,0.9367495775222778,0.8823072910308838,0.24485543370246887,0.23209169507026672,1.0,14,0.75,26,harm_delta,0.045540452003479004
0.0216977596282959,0.9781993627548218,0.9565016031265259,1817,,0.0530242919921875,1.2282785177230835,1.175254225730896,0.27637404203414917,0.2649127244949341,1.0,14,0.75,27,harm_delta,0.0313265323638916
0.025221586227416992,1.9333406686782837,1.9081190824508667,2844,,0.05265092849731445,1.4444653987884521,1.3918144702911377,0.2870539128780365,0.2771555185317993,1.0,14,0.75,28,harm_delta,0.02742934226989746
0.015767604112625122,0.31490588188171387,0.29913827776908875,5275,,0.05051872134208679,0.4101908504962921,0.3596721291542053,0.1318051517009735,0.11669705808162689,1.0,14,0.75,29,harm_delta,0.03475111722946167
-0.010417520999908447,0.8703267574310303,0.8807442784309387,9491,,0.04997378587722778,1.037489891052246,0.9875161051750183,0.2584006190299988,0.2513675391674042,1.0,14,0.75,30,harm_delta,0.039556264877319336
0.014342069625854492,0.6110719442367554,0.5967298746109009,10592,,0.04893803596496582,1.024236798286438,0.9752987623214722,0.3005991280078888,0.28627246618270874,1.0,14,0.75,31,harm_delta,0.03459596633911133
0.002627432346343994,0.5348313450813293,0.5322039127349854,6692,,0.046320438385009766,1.115917682647705,1.0695972442626953,0.30190154910087585,0.2901797294616699,1.0,14,0.75,32,harm_delta,0.04369300603866577
0.0076372623443603516,2.6754868030548096,2.667849540710449,3001,,0.18010878562927246,3.96832013130188,3.7882113456726074,0.5806199312210083,0.562125563621521,1.0,14,0.75,1,specificity,0.1724715232849121
0.039147526025772095,0.3251660168170929,0.2860184907913208,16029,,0.15537697076797485,0.9472824335098267,0.7919054627418518,0.21333681046962738,0.182339146733284,1.0,14,0.75,2,specificity,0.11622944474220276
0.01809149980545044,0.3408791422843933,0.32278764247894287,5481,,0.12367826700210571,0.9307106137275696,0.8070323467254639,0.27429017424583435,0.24225059151649475,1.0,14,0.75,3,specificity,0.10558676719665527
0.13315200805664062,7.290367603302002,7.157215595245361,8681,,0.23824501037597656,6.456377983093262,6.218132972717285,0.5113310813903809,0.4996092617511749,1.0,14,0.75,4,specificity,0.10509300231933594
0.029026448726654053,0.39526769518852234,0.3662412464618683,14251,,0.1326954960823059,0.6555936932563782,0.5228981971740723,0.18911175429821014,0.15238343179225922,1.0,14,0.75,5,specificity,0.10366904735565186
