layer,model_a,model_b,n,row_cosine,split
7,base,math_slerp,8,0.8550633788108826,benign
7,base,math_slerp,8,0.8896610140800476,arith
7,base,math_slerp,8,0.8874014616012573,polite
8,base,math_slerp,8,0.8527284860610962,harmful
8,base,math_slerp,8,0.8287354707717896,benign
8,base,math_slerp,8,0.8717746734619141,arith
8,base,math_slerp,8,0.8768815994262695,polite
9,base,math_slerp,8,0.8597316145896912,harmful
9,base,math_slerp,8,0.8459310531616211,benign
9,base,math_slerp,8,0.8738452196121216,arith
9,base,math_slerp,8,0.8677165508270264,polite
10,base,math_slerp,8,0.8718626499176025,harmful
10,base,math_slerp,8,0.8555740714073181,benign
10,base,math_slerp,8,0.8982168436050415,arith
10,base,math_slerp,8,0.8720237612724304,polite
11,base,math_slerp,8,0.8846437335014343,harmful
11,base,math_slerp,8,0.8716576099395752,benign
11,base,math_slerp,8,0.9012719988822937,arith
11,base,math_slerp,8,0.8864107728004456,polite
12,base,math_slerp,8,0.8896719813346863,harmful
12,base,math_slerp,8,0.8809064626693726,benign
12,base,math_slerp,8,0.9013268947601318,arith
12,base,math_slerp,8,0.8948196768760681,polite
13,base,math_slerp,8,0.894505500793457,harmful
13,base,math_slerp,8,0.8909332752227783,benign
13,base,math_slerp,8,0.9083442687988281,arith
13,base,math_slerp,8,0.8975039124488831,polite
14,base,math_slerp,8,0.9289088249206543,harmful
14,base,math_slerp,8,0.9274373650550842,benign
14,base,math_slerp,8,0.9345852136611938,arith
14,base,math_slerp,8,0.9176937937736511,polite
15,base,math_slerp,8,0.9268291592597961,harmful
15,base,math_slerp,8,0.9302506446838379,benign
15,base,math_slerp,8,0.9247291088104248,arith
15,base,math_slerp,8,0.9142640829086304,polite
16,base,math_slerp,8,0.9136912226676941,harmful
16,base,math_slerp,8,0.9302980899810791,benign
16,base,math_slerp,8,0.9074521064758301,arith
16,base,math_slerp,8,0.8974498510360718,polite
17,base,math_slerp,8,0.9125949144363403,harmful
17,base,math_slerp,8,0.9337697625160217,benign
17,base,math_slerp,8,0.8942821025848389,arith
17,base,math_slerp,8,0.8831912875175476,polite
18,base,math_slerp,8,0.9116723537445068,harmful
18,base,math_slerp,8,0.9354976415634155,benign
18,base,math_slerp,8,0.8808420300483704,arith
18,base,math_slerp,8,0.8593052625656128,polite
19,base,math_slerp,8,0.9301819205284119,harmful
19,base,math_slerp,8,0.9474688768386841,benign
19,base,math_slerp,8,0.8729419112205505,arith
19,base,math_slerp,8,0.8542591333389282,polite
20,base,math_slerp,8,0.9161972403526306,harmful
20,base,math_slerp,8,0.948769211769104,benign
20,base,math_slerp,8,0.8695930242538452,arith
20,base,math_slerp,8,0.8249251842498779,polite
21,base,math_slerp,8,0.919231653213501,harmful
21,base,math_slerp,8,0.9532186388969421,benign
21,base,math_slerp,8,0.8587487936019897,arith
21,base,math_slerp,8,0.8244251012802124,polite
22,base,math_slerp,8,0.9196500182151794,harmful
